Rank,Name,Game Type,Map,Game Rank,1st Ability,2nd Ability,3rd Ability,Ultimate,Matches
1,Breach,replication,fracture,,8.5,6.3,4,0.9,20
2,Chamber,replication,fracture,,3.2,6.8,6,1.8,5
3,Sage,replication,fracture,,2,1.1,2.1,0.1,30
4,Raze,replication,fracture,,8.5,6.4,6.1,1.1,65
5,Killjoy,replication,fracture,,4.7,3.8,9.2,1.2,60
6,Neon,replication,fracture,,4.5,5.4,2,1,50
7,Phoenix,replication,fracture,,3.7,2.6,1.9,0.8,80
8,Reyna,replication,fracture,,5,2.4,8.4,1,80
9,Brimstone,replication,fracture,,4.8,12.6,3.4,0.6,5
10,KAY/O,replication,fracture,,6.5,5.6,3.3,1.1,10
1,Sage,replication,bind,,6,2.5,5.4,0.6,60
2,Killjoy,replication,bind,,4.6,3.3,9.4,0.9,55
3,Neon,replication,bind,,7,7.5,2.3,1.6,35
4,Raze,replication,bind,,7.3,5.2,4.6,0.9,85
5,Phoenix,replication,bind,,7.3,4,2.8,1.6,65
6,Brimstone,replication,bind,,2.1,4.9,1.5,0.4,50
7,Jett,replication,bind,,5.9,5.8,7.5,1.1,60
8,Breach,replication,bind,,10.4,6,5,0.8,5
1,Astra,replication,pearl,,2.7,7.5,2.4,0.8,10
2,Sova,replication,pearl,,8,7.2,3.1,1.1,20
3,Fade,replication,pearl,,2.8,7.7,8.8,1.2,20
4,Raze,replication,pearl,,8.9,6.1,5.8,1,185
5,Jett,replication,pearl,,5.2,5.5,6.4,1.3,65
6,Neon,replication,pearl,,6.9,6.8,3.2,1.3,90
7,Sage,replication,pearl,,6.9,2.8,4.4,0.5,145
8,Yoru,replication,pearl,,6.9,8.2,5,1.3,90
9,Reyna,replication,pearl,,5.1,2.1,9,1,50
10,Viper,replication,pearl,,2.8,4.2,7.8,1,5
11,Harbor,replication,pearl,,3.3,4.2,5.7,1.1,35
1,Omen,replication,haven,,4.3,9.4,5.1,1.1,35
2,Raze,replication,haven,,8.9,5.9,5,1,60
3,Reyna,replication,haven,,5.5,2.1,7.6,0.7,40
4,KAY/O,replication,haven,,7.9,6.6,3.8,1.1,25
5,Breach,replication,haven,,8.6,6.4,4.3,0.9,10
6,Neon,replication,haven,,6.8,6.5,3.8,0.9,40
7,Cypher,replication,haven,,9.6,4.8,9,1,25
8,Phoenix,replication,haven,,5.2,2.9,2.4,1.2,50
9,Yoru,replication,haven,,6.6,8.4,4.8,1.3,50
10,Brimstone,replication,haven,,3.2,11.4,3.6,0.6,5
11,Jett,replication,haven,,5.8,5.1,7,1.8,20
12,Fade,replication,haven,,4,7,9.4,1.7,10
1,Yoru,replication,icebox,,7.8,11.2,6.2,1.3,30
2,Reyna,replication,icebox,,5.2,2.3,8.2,1,75
3,Raze,replication,icebox,,9.6,6.4,4.9,1.2,100
4,Sage,replication,icebox,,5.4,2.4,4,0.4,100
5,Neon,replication,icebox,,6.6,6.8,3.1,1.4,30
6,Breach,replication,icebox,,6,4.5,3.3,0.5,10
1,Astra,replication,all,,2.3,7.7,2.5,0.9,30
2,Viper,replication,all,,4.7,5.7,8.2,0.6,35
3,Sova,replication,all,,7.4,7.6,3.1,1.2,25
4,Killjoy,replication,all,,4.6,3.6,9.3,1,115
5,Chamber,replication,all,,2.8,3.8,4.7,1,60
6,Raze,replication,all,,8.7,6,5.3,1.1,635
7,Omen,replication,all,,4.3,9.2,5,1,40
8,Sage,replication,all,,5.8,2.5,4.3,0.5,550
9,Fade,replication,all,,3.2,7.5,9,1.4,30
10,Jett,replication,all,,6,5.9,7,1.1,355
11,Brimstone,replication,all,,2.3,6.7,1.9,0.5,95
12,Reyna,replication,all,,5,2.2,7.9,0.9,490
13,Breach,replication,all,,8.4,6.4,4.1,0.9,110
14,Cypher,replication,all,,8.4,4.7,9.4,0.8,55
15,KAY/O,replication,all,,7.8,6.3,3.7,1.1,40
16,Yoru,replication,all,,6.8,8.6,5.3,1.3,270
17,Phoenix,replication,all,,5.8,3.2,2.5,1.2,235
18,Neon,replication,all,,6.4,6.5,3.1,1.2,415
19,Harbor,replication,all,,2.8,4.1,5.4,1.1,60
1,Sage,replication,split,,6.4,2.4,5,0.5,65
2,Reyna,replication,split,,5.1,2.8,7.2,0.8,65
3,Breach,replication,split,,8.5,6.1,3.1,0.9,10
4,Jett,replication,split,,5.8,6.4,7,1.2,80
5,Raze,replication,split,,10.2,6.9,6,1.6,30
6,Neon,replication,split,,8.4,7.1,4.1,1.3,50
7,Chamber,replication,split,,2.4,2.4,3.8,1,20
8,Harbor,replication,split,,2,3.9,4.9,1,25
9,Omen,replication,split,,4.2,7.8,4.8,0.6,5
10,KAY/O,replication,split,,9.8,6.2,4.2,1.4,5
1,Sova,replication,breeze,,5.2,9.2,2.8,1.4,5
2,Astra,replication,breeze,,1.8,7.2,2.1,0.8,10
3,Brimstone,replication,breeze,,2.1,7.8,2,0.6,35
4,Jett,replication,breeze,,6.9,6.3,9.2,1,35
5,Chamber,replication,breeze,,2.9,4.1,5.1,0.9,35
6,Cypher,replication,breeze,,6.7,4.4,9.8,0.6,20
7,Sage,replication,breeze,,3.5,1.3,3.7,0.5,70
8,Reyna,replication,breeze,,4.6,2.2,7.6,0.8,115
9,Raze,replication,breeze,,8.3,5.4,4.7,0.8,25
10,Yoru,replication,breeze,,7.2,9.2,6.1,1.3,60
11,Neon,replication,breeze,,5.9,6.2,3.6,1.1,70
1,Viper,replication,ascent,,5.1,5.9,8.3,0.6,30
2,Astra,replication,ascent,,2.4,8.4,2.9,1.2,10
3,Sage,replication,ascent,,6.8,3.6,4.2,0.6,80
4,Jett,replication,ascent,,6.5,5.8,6.4,0.9,95
5,Raze,replication,ascent,,8,6,5.3,1.1,85
6,Cypher,replication,ascent,,8.7,5.3,9.9,0.6,10
7,Phoenix,replication,ascent,,8.6,3.5,3,1.5,40
8,Reyna,replication,ascent,,5,1.2,7.8,0.8,65
9,Breach,replication,ascent,,8.5,6.9,4.3,1,55
10,Yoru,replication,ascent,,5.3,7.2,4.4,1,40
11,Neon,replication,ascent,,5.2,6.1,2.5,0.8,50
1,Killjoy,unrated,fracture,,9.4,6.7,15.6,2.1,"117,364"
2,Reyna,unrated,fracture,,11.7,4.4,12.2,1.4,"319,561"
3,Raze,unrated,fracture,,10,12.2,8.9,2,"200,848"
4,Sage,unrated,fracture,,7.2,6.8,6.6,1.2,"291,221"
5,Brimstone,unrated,fracture,,6,24.9,5.6,2,"111,491"
6,Viper,unrated,fracture,,6.5,12.1,8.9,1.3,"103,645"
7,Breach,unrated,fracture,,13.4,15.4,6.1,1.9,"81,413"
8,Fade,unrated,fracture,,3.5,16,10.6,1.8,"119,166"
9,Cypher,unrated,fracture,,15.4,11.6,20.4,2.2,"84,340"
10,Skye,unrated,fracture,,6.7,17,2.8,2.4,"81,429"
11,Neon,unrated,fracture,,10.3,14.1,4.6,1.7,"145,950"
12,Jett,unrated,fracture,,5.7,13.1,8.8,1.8,"263,199"
13,Phoenix,unrated,fracture,,8.6,6.3,3.5,2.6,"162,898"
14,Chamber,unrated,fracture,,3.5,6.3,9.2,1.9,"86,853"
15,Astra,unrated,fracture,,3.3,18.6,5,1.6,"24,540"
16,Omen,unrated,fracture,,6.2,19.2,4.9,1.5,"120,035"
17,Harbor,unrated,fracture,,4.6,11.7,11.7,2.2,"34,267"
18,Yoru,unrated,fracture,,10,14.3,9.2,2.3,"122,884"
19,Sova,unrated,fracture,,7,16.7,3.3,1.5,"115,491"
20,KAY/O,unrated,fracture,,9.9,17.1,5.4,1.7,"86,213"
1,Killjoy,unrated,pearl,,9.8,7.2,15.9,2,"105,309"
2,Reyna,unrated,pearl,,11.7,4.4,12.7,1.4,"323,511"
3,Sage,unrated,pearl,,7.8,6.9,7.1,1.2,"301,581"
4,Raze,unrated,pearl,,10.4,12.3,9.1,1.9,"190,013"
5,Fade,unrated,pearl,,3.9,17.6,11.6,1.8,"142,778"
6,Cypher,unrated,pearl,,15.7,12.4,21.2,2.1,"89,373"
7,Brimstone,unrated,pearl,,6.1,24.5,5.3,1.9,"83,021"
8,Astra,unrated,pearl,,3.3,20.9,5.4,1.8,"40,020"
9,Viper,unrated,pearl,,6.6,13.2,9.5,1.4,"119,536"
10,Skye,unrated,pearl,,6.9,17.8,3,2.4,"79,277"
11,Neon,unrated,pearl,,9.8,14.7,4.7,1.6,"131,720"
12,Phoenix,unrated,pearl,,9.4,6.7,3.7,2.5,"172,664"
13,Jett,unrated,pearl,,6.3,13.3,9.2,1.8,"271,148"
14,Chamber,unrated,pearl,,3.6,6.9,9.9,1.8,"96,721"
