short,long
ARI,(ARI) Arizona Cardinals
ATL,(AFL) Atlanta Falcons
BAL,(BAL) Baltimore Ravens
BUF,(BUF) Buffalo Bills
CAR,(CAR) Carolina Panthers
CHI,(CHI) Chicago Bears
CIN,(CIN) Cincinnati Bengals
CLE,(CLE) Cleveland Browns
DAL,(DAL) Dallas Cowboys
DEN,(DEN) Denver Broncos
DET,(DET) Detroit Lions
GB,(GB) Green Bay Packers
HOU,(HOU) Houston Texans
IND,(IND) Indianapolis Colts
JAX,(JAX) Jacksonville Jaguars
KC,(KC) Kansas City Chiefs
LAC,(LAC) Los Angeles Chargers
LAR,(LAR) Los Angeles Rams
LV,(LV) Las Vegas Raiders
MIA,(MIA) Miami Dolphins
MIN,(MIN) Minnesota Vikings
NE,(NE) New England Patriots
NO,(NO) New Orleans Saints
NYG,(NYG) New York Giants
NYJ,(NYJ) New York Jets
PHI,(PHI) Philadelphia Eagles
PIT,(PIT) Pittsburgh Steelers
SEA,(SEA) Seattle Seahawks
SF,(SF) San Francisco 49ers
TB,(TB) Tampa Bay Buccaneers
TEN,(TEN) Tennessee Titans
WAS,(WAS) Washington Football Team
OAK,(OAK) Oakland Riders
