headlines,description,content,url,category
Nirmala Sitharaman to equal Morarji Desai’s record with her sixth straight budget,"With the presentation of the interim budget on February 1, Nirmala Sitharaman will surpass the records of her predecessors like Manmohan Singh, Arun Jaitley, P Chidambaram, and Yashwant Sinha, who had presented five budgets in a row.","Sitharaman, the first full-time woman finance minister of the country, has presented five full budgets since July 2019 and will present an interim or vote-on-account budget next week.
With the presentation of the interim budget on February 1, Sitharaman will surpass the records of her predecessors like Manmohan Singh, Arun Jaitley, P Chidambaram, and Yashwant Sinha, who had presented five budgets in a row.
Desai, as finance minister, had presented five annual budgets and one interim budget between 1959-1964. The interim budget 2024-25 to be presented by Sitharaman on February 1, will be a vote-on-account that will give the government authority to spend certain sums of money till a new government comes to office after the April-May general elections.
ADVERTISEMENT
As the Parliamentary elections are due, Sitharaman’s interim budget may not contain any major policy changes. Speaking at an industry event last month, Sitharaman had ruled out any “spectacular announcement” in the interim budget, saying it would just be a vote-on-account before the general elections.
A vote-on-account, once approved by Parliament, will authorise the government to withdraw money from the Consolidated Fund of India on a pro-rata basis to meet expenditure for the April-July period.
The new government, which is likely to be formed around June, will come up with a final budget for 2024-25 sometime in July. Usually, interim budgets do not contain major policy announcements, but nothing stops the government from taking steps which are necessary to deal with the urgent issues facing the economy.
After the Modi government came to power in 2014, Arun Jaitley took charge of the finance ministry and presented five budgets in a row from 2014-15 to 2018-19. It was in 2017, that Jaitley departed from the colonial-era tradition of presenting budget on the last working day of February to 1st of the month.
ADVERTISEMENT
Piyush Goyal, who was holding the additional charge of the ministry due to ill health of Jaitley, presented the interim budget for 2019-20 on February 1, 2019. Goyal had hiked standard deduction for salaried taxpayers by Rs 10,000 to Rs 50,000. Also, the tax rebate for taxpayers whose annual taxable income did not exceed Rs 5 lakh was increased from Rs 2,500 to Rs 12,500.
After the 2019 general elections, in the Modi 2.0 Government, Sitharaman was given the charge of the finance portfolio. She became the second woman to have presented a budget after Indira Gandhi, who had presented the budget for the financial year 1970-71.
That year, Sitharaman did away with the traditional budget briefcase and instead went for a ‘bahi-khata’ with the National Emblem to carry the speech and other documents.
ADVERTISEMENT
Under Sitharaman, India has weathered the Covid pandemic with an array of policy measures announced for the poor and continued its tag of the fastest growing major economy and a ‘bright spot’ in the world economy.
India is racing to become a USD 5 trillion economy by 2027-28 and USD 30 trillion by 2047. Former Prime Minister Morarji Desai who holds the tag of presenting 10 budgets — the maximum by any finance minister — had presented six of them, including one interim, in a row.
The first budget of Independent India was presented by the first finance minister R K Shanmukham Chetty.
Sitharaman, who will be presenting her sixth budget in a row, is expected to come up with some measures, especially to boost the rural sector as the agriculture sector growth in 2023-24 is estimated to decelerate to 1.8 per cent, from 4 per cent, in the preceding year.
Rakesh Nangia, Chairman, Nangia Andersen India said given the proximity to the elections, the budget is expected to focus on immediate fiscal needs rather than introducing broad long-term economic reforms.
ADVERTISEMENT
In the last interim budget for FY 2019-20, while the overall tax structure remained unchanged, there were certain specific tax rebates and standard deduction concessions. “While major announcements may be deferred until after the 2024 Lok Sabha elections, the budget is expected to address ongoing concerns and lay the foundation for future economic growth. This strategic approach aims to balance immediate fiscal responsibilities with long-term economic objectives in a pre-election context,” Nangia said. 
 ",https://indianexpress.com/article/business/budget/finance-minister-nirmala-sitharaman-equal-morarji-desai-record-interim-budget-2024-9128868/,business
"‘Will densify network, want to be at least no. 2 in any city pair’: Air India Express MD","'In terms of market share, we aim to double it by 2028 in both segments—15 per cent in the domestic and 20 per cent in short-haul international,' says AI Express’s Managing Director Aloke Singh","The merger of Tata group’s budget airlines Air India Express (AI Express) and AIX Connect (formerly AirAsia India) into one carrier — AI Express — is on track for completion in the next three to four months, even as operational integration of the two is nearly complete. According to AI Express’s Managing Director Aloke Singh, the airline in its brand-new avatar aspires to double its market share by 2028, more than triple its fleet size to 180 aircraft, and build a dense network focussed on tier-two and tier-three cities, all while working in synergy with parent Air India to realise the group’s vision of emerging as a formidable player in India and beyond.
In an interaction with SUKALP SHARMA, Singh gives a lowdown of AI Express’s vision and strategy to chart ambitious growth in the coming years. Edited Excerpts:
How is the integration of AI Express and AIX Connect coming along?
The past year has been all about the integration, which involves integrating systems, processes, platforms, people, brand, networks and fleets. We have tweaked the combined network to facilitate flows between the two networks. That integration is now moving into a merger, which we hope to complete in three to four months. Simultaneously, a massive growth agenda has kicked in. We are now inducting aircraft at a rate of three-and-a-half per month, and it will continue for a while.
ADVERTISEMENT
With steady supply of new aircraft, what shape will your network take?
The new capacity will help us grow significantly. This growth will come from our existing markets as well as some new ones. In our existing markets, we will densify the network and plug gaps that we could not address earlier due to capacity constraints. The broad network strategy is that we will first consolidate our presence and become stronger wherever we already operate. We want to be at least the number two player in any city pair. We don’t want to open too many new stations together. We want to open one station, deploy capacity there to increase connectivity, and spread out from there. As we become firm in a market, it will also help us in rationalising costs.
AI Express was almost exclusively a short-haul international carrier while AIX Connect was a domestic airline. Should we expect the combined entity to be more focussed on the domestic market?
If you put the two networks together, we roughly have 50 per cent capacity each on domestic and international. This will remain so for the next year or two. The domestic portion will then grow to some extent. We will probably end up with about 60 per cent domestic and 40 per cent international. The domestic market is much bigger and our capacity deployment will reflect that.
In terms of market share, we aim to double it by 2028 in both segments—15 per cent in the domestic and 20 per cent in short-haul international.
What is the status of network optimisation at the group level between the full-service carrier (Air India) and the budget carrier (AI Express)?
It has started and will be a continuous process as the nature of markets is dynamic. Route rationalisation at the group level has begun. Different operational models suit different markets. If we see that a market is better served in financial terms by the low-cost model, then we will deploy the relevant product. There will be markets where operating premium products will offer an upside, so the full-service product will be offered there. In markets and segments that are big and deep enough, we would look at straddling both product offerings.
ADVERTISEMENT
 The market sees IndiGo, which has a domestic market share of over 60 per cent, as your biggest competitor. How do you look at that challenge?
The market is big enough and deep enough, and has space for a number of players. The broad thrust of our network strategy will be a lot more focus on tier-two and tier-three cities. We will also focus on international operations from tier-two cities, because that is a space we understand very well. We will not be concentrating our capacity on large cities. Of course, there will be some capacity deployed there, but a large part will be for tier-two, tier-three cities.
So, you are looking at a point-to-point network instead of hub-and-spoke?
Yes, it will not be focussed on a large hub. However, our network will have a number a focus cities, probably 10, where we will also transfer passengers. Like, Kochi may not be a hub per se, but it has significant potential for domestic-to-domestic, international-to-domestic, and even international-to-international transfers. Similarly, we are connecting Bangalore, where we have a dense network, to our points in Kerala. For example, we can offer travel from Ayodhya to Kochi via Bangalore, or a Lucknow-Bangalore-Trivandrum connection.
Air India Express operated Boeing 737s while AIX Connect had Airbus A320s. Do you now plan to operate both or retire the A320s?
We will have a mixed fleet. You have to look at the fleet from the group perspective. The fleet will be fungible. We want that flexibility. Having a mixed fleet may have some sub-optimality, but with scale, fleet commonality benefits diminish. If you have 200 or 300 or 400 aircraft, due to the large scale of operations, a mixed fleet is not too different from a single-type fleet.
ADVERTISEMENT
Our plan is to have a fleet size of about 180 aircraft by 2028. We have a legacy fleet of 26 737NGs (737 Next Generation), of which 10 are leased, and 28 A320s, all of which are leased. The leased aircraft will start going back to lessors starting this year.
The Air India group’s 470-aircraft order includes 190 Boeing 737 MAX planes. Are all of those going to come to Air India Express?
So far, we have not taken that call at the group level. The aircraft deliveries will stretch over years. Some of the Airbus A320s and A321s (also part of the order) may even come our (Air India Express) way. Aircraft type within the group will remain fungible given the long delivery schedule and the decisions will be based on synergies within the group like aircraft engineering and maintenance. But certainly, Air India Express will operate under an all-economy model.
Considering Air India Express has mostly been a short-haul international carrier and given the growth trajectory you are eyeing, are you looking to get into wide-body operations as well?
No, we have no such plans at present. We first want to grow and scale up with our current model (low-cost domestic and short-haul international operations), before thinking about anything else.
By when can we see your legacy fleet in the new Air India Express branding?
We are not going to change the livery on the legacy fleet. One reason is that many of those aircraft will be going back to lessors once the leases expire. Secondly, we want to prioritise the new aircraft, as the painting capacity in the MROs (maintenance, repair, and overhaul units) is limited. We want to paint the new aircraft first and then take a call on the older ones. In any airline’s livery change programme, it takes years for 100 per cent of the aircraft to get rebranded.
Given your thrust on tier-two and tier-three cities, will we see Air India Express applying for routes under the regional connectivity scheme UDAN (Ude Desh ka Aam Naagrik)?
Certainly, we could look at it, if it fits into our route strategy. We would be really interested in international UDAN, but there could be some domestic routes also that could make sense for us.",https://indianexpress.com/article/business/aviation/interview-with-aloke-singh-md-air-india-express-9128164/,business
Air India group to induct an aircraft every six days throughout this year,"Air India currently has 117 operational aircraft in its fleet, while its arm Air India Express has 63 planes. Under the new owners, Air India has been able to bring back to service 90 per cent of its long-grounded aircraft as well.","The Air India group plans to induct one aircraft every six days on an average throughout 2024, including five more Airbus A350 wide-body aircraft, and 46 Boeing 737 and 17 Airbus A320 narrow-body planes, Air India’s Chief Executive Officer and Managing Director Campbell Wilson said Thursday in a message to staff ahead of the second anniversary of the carrier’s return to the Tata group. Apart from these 68 planes—part of the Air India group’s mammoth 470-aircraft order placed in 2023—four leased Boeing 777 wide-body planes will also join the carrier’s fleet.
Air India currently has 117 operational aircraft in its fleet, while its arm Air India Express has 63 planes. Under the new owners, Air India has been able to bring back to service 90 per cent of its long-grounded aircraft as well.
Apart from fleet expansion, 2024 will also see Air India kick off the full interior refit of 40 legacy wide-body aircraft—Boeing 777s and 787s. The upgradation exercise, which will include complete replacement of seats and in-flight entertainment system on the legacy wide-body fleet, is expected to start in July, coinciding with Air India’s first A350 aircraft starting international operations. The plane, which started commercial operations this week, is initially flying domestic sectors for a few months for crew familiarisation flights. Air India also plans to start interior upgrades on 41 narrow-body A320 aircraft as well this year.
ADVERTISEMENT
“Though we still have a long way to go to upgrade the legacy fleet, improve our consistency, close remaining gaps and strengthen fragile processes, the future is now more visible, more tangible and, I hope, more inspiring. Despite—and no doubt somewhat because of—the good progress we’ve made in two short years since privatisation, expectations are high, so we need to keep rising to meet them,” Wilson said.
Over the past two years, Air India has augmented its legacy fleet by taking 36 aircraft on lease, apart from pacing the giant 470-aircraft order with Airbus and Boeing. It has added five domestic and 11 international routes to its network, and opened five new international stations. New brand identities for both Air India and Air India Express were also launched last year.
Ever since Air India returned to the Tata group on January 27, 2022, the new owners have been focusing on sprucing up the product offering, while also planning an extensive expansion for the airline. A five-year roadmap–Vihaan.AI–was prepared with the objective of substantially growing the airline’s network and fleet in a bid to put it on a “path to sustained growth, profitability, and market leadership”.
As per data shared by Wilson with staff, Air India clocked 249 per cent revenue growth over the past two years, while Air India Express’s revenue grew 148 per cent over the period. Wilson did not give further details on the group’s financials.
ADVERTISEMENT
“In the context of our starting point, the size and scope of the transformation we’re undertaking, our unprecedented multi-carrier integration, our huge growth and product-improvement aspirations and our capability-building requirements, two years is an incredible short time. Indeed, we are not even 18 months into our 5-year Vihaan.AI transformation program. But even so, as the infographic shows, the progress made in two short years is quite remarkable and is testament to the commitment, energy and hard work of all Air Indians,” Wilson said.
The Tata group is in the process of consolidating its airline business by merging Air India and Vistara to create one full-service carrier under the Air India brand, and Air India Express and AIX Connect (formerly AirAsia India) to create one budget airline under the Air India Express brand. While the operational integration of Air India Express and AIX Connect is complete, the merger of Air India and Vistara is expected sometime in 2025.",https://indianexpress.com/article/business/aviation/air-india-group-to-induct-an-aircraft-every-six-days-throughout-this-year-9128194/,business
Red Sea woes: Exporters seek increased credit as freight rates jump 300%,Rising attacks forced shippers to consider the longer route,"Indian exporters have asked the central government to help facilitate more credit as freight rates have jumped nearly 300 per cent due to the disruption in the Red Sea route forcing global shipping lines to take longer trade routes, which is ultimately affecting exports of low value items such as Basmati rice.
Increasing attacks on ships sailing in the Red Sea region since November 2023 have forced shippers to consider the alternative, longer route past the Cape of Good Hope, which has not only stretched delivery time by 15 to 20 days, but also increased the transit cost substantially because of incremental freight rates and insurance premium.
Federation of Indian Export Organisations (FIEO) Director General Ajay Sahai told The Indian Express that freight costs have surged by 300 per cent as global shipping lines are taking the Cape of Good Hope route, which is why exporters have sought more credit to match the rising cost of shipments to Europe.
ADVERTISEMENT
Meanwhile, ratings agency Crisil on Thursday said that players operating in sectors such as agricultural commodities and marine foods could see a significant impact due to the perishable nature of their goods or lean margin profiles, which limit their ability to absorb the risks from rising freight cost.
“Not all sectors are expected to be impacted to the same extent. In fact, for agricultural commodities like Basmati rice (30-35% of production is shipped to these regions), exporters are feeling the pressure as rising freight cost has curbed exports and a part of their inventory is now being sold in the domestic market, leading to a moderation in realisations,” the report said.
Indian companies use the Red Sea route through the Suez Canal to trade with Europe, North America, North Africa, and parts of the west Asia. Crisil said that these regions accounted for 50 per cent of India’s exports worth Rs 18 lakh crore and 30 per cent of imports worth Rs 17 lakh crore last fiscal.
“Marine foods –predominantly shrimp and prawn – could also see a significant impact as 80-90 per cent of the production is exported, more than half of it through the Red Sea. Their perishable nature and lean margins make exporters vulnerable to rising freight cost and competitive pressure from Latin American suppliers,” the report added.
ADVERTISEMENT
The Indian Express had earlier reported that the finance ministry is set to hold a high-level meeting on February 5 to ensure smooth trade payments amid challenges emanating from the disruption in the Red Sea region.",https://indianexpress.com/article/business/red-sea-woes-exporters-seek-increased-credit-as-freight-rates-jump-300-9128191/,business
Air India group to induct a plane every 6 days throughout 2024; kick off legacy fleet revamp,"Apart from fleet expansion, 2024 will also see Air India kick off the full interior refit of 40 legacy wide-body aircraft—Boeing 777s and 787s.","The Air India group plans to induct one aircraft every six days an average throughout 2024, including five more Airbus A350 wide-body aircraft, and 46 Boeing 737 and 17 Airbus A320 narrow-body planes, Air India’s Chief Executive Officer and Managing Director Campbell Wilson said Thursday in a message to staff ahead of the second anniversary of the carrier’s return to the Tata group. Apart from these 68 planes—part of the Air India group’s mammoth 470-aircraft order placed in 2023—four leased Boeing 777 wide-body planes will also join the carrier’s fleet.
Air India currently has 117 operational aircraft in its fleet, while its arm Air India Express has 63 planes. Under the new owners, Air India has been able to bring back to service 90 per cent of its long-grounded aircraft as well.
Apart from fleet expansion, 2024 will also see Air India kick off the full interior refit of 40 legacy wide-body aircraft—Boeing 777s and 787s. The upgradation exercise, which will include complete replacement of seats and in-flight entertainment system on the legacy wide-body fleet, is expected to start in July, coinciding with Air India’s first A350 aircraft starting international operations. The plane, which started commercial operations this week, is initially flying domestic sectors for a few months for crew familiarisation flights. Air India also plans to start interior upgrades on 41 narrow-body A320 aircraft as well this year.
ADVERTISEMENT
“Though we still have a long way to go to upgrade the legacy fleet, improve our consistency, close remaining gaps and strengthen fragile processes, the future is now more visible, more tangible and, I hope, more inspiring. Despite—and no doubt somewhat because of—the good progress we’ve made in two short years since privatisation, expectations are high, so we need to keep rising to meet them,” Wilson said.
Over the past two years, Air India has augmented its legacy fleet by taking 36 aircraft on lease, apart from pacing the giant 470-aircraft order with Airbus and Boeing. It has added five domestic and 11 international routes to its network, and opened five new international stations. New brand identities for both Air India and Air India Express were also launched last year.
Ever since Air India returned to the Tata group on January 27, 2022, the new owners have been focussed on sprucing up the product offering, while also planning an extensive expansion for the airline. A five-year roadmap–Vihaan.AI–was prepared with the objective of substantially growing the airline’s network and fleet in a bid to put it on a “path to sustained growth, profitability, and market leadership”.
As per data shared by Wilson with staff, Air India clocked 249 per cent revenue growth over the past two years, while Air India Express’s revenue grew 148 per cent over the period. Wilson did not give further details on the group’s financials.
ADVERTISEMENT
“In the context of our starting point, the size and scope of the transformation we’re undertaking, our unprecedented multi-carrier integration, our huge growth and product-improvement aspirations and our capability-building requirements, two years is an incredible short time. Indeed, we are not even 18 months into our 5-year Vihaan.AI transformation program. But even so, as the infographic shows, the progress made in two short years is quite remarkable and is testament to the commitment, energy and hard work of all Air Indians,” Wilson said.
The Tata group is in the process of consolidating its airline business by merging Air India and Vistara to create one full-service carrier under the Air India brand, and Air India Express and AIX Connect (formerly AirAsia India) to create one budget airline under the Air India Express brand. While the operational integration of Air India Express and AIX Connect is complete, the merger of Air India and Vistara is expected sometime in 2025.",https://indianexpress.com/article/business/aviation/air-india-group-to-induct-a-plane-every-6-days-throughout-2024-9127949/,business
"Q3 Earnings Results: JSW Steel, PNB, ACC report multifold jump in net profit","Q3 Earnings India Results: This comes after banking and IT shares tanked on Indian equity markets at the backdrop of Tech Mahindra, which saw consolidated profits decline by 61 per cent to Rs 510.4 crores.","Q3 Earnings Today: Companies continued to report their Q3 results on Thursday as several heavyweights reports multifold increase in their net profits. This comes after banking and IT shares tanked on Indian equity markets at the backdrop of Tech Mahindra, which saw consolidated profits decline by 61 per cent to Rs 510.4 crores. However, the real estate sector stood out, limiting Sensex and Nifty indices’ fall.
JSW Steel
On the back of strong domestic demand, JSW Steel Ltd on January 25 (Thursday) reported a five-fold rise in consolidated net profit at Rs 2,450 crore for December quarter against Rs 474 crore in the year-ago period. Income during the third quarter increased to Rs 42,134 crore from Rs 39,322 crore in the year-ago period.
“The strong performance was driven by capacity utilisation rising to 94 per cent during the quarter vs 89 per cent in Q2 FY24 at the Indian operations,” the company said in a statement.
ADVERTISEMENT
Among the largest steel producers, JSW group is also into energy, infrastructure, cement, paints, sports, and venture capital.
Shares of JSW rose 3.50 points, or 0.43 per cent at Rs 815.70.
SBI Life
SBI Life Insurance Company posted a 6 per cent rise in net profit of Rs 322 crore against 306 crores in the corresponding quarter year ago. However, the company’s net premium income rose by 16 per ceny year-on-year at Rs 22,316 crore.
One of the key indicators of profitability, Value of New Business (VNB) stood at Rs 1,680 crore during the quarter under review, reflecting a 11.3 per cent rise from Rs 1,510 crore. VNB margin was up 24.4 per cent in this quarter, marking a minor downfall from 27.8 per cent a year ago. SBI Life’s new business premium advanced by 17 per cent at 17,762 crores during October-December quarter.
ADVERTISEMENT
Shares of SBI Life dipped 29.65 points, or 2.10 per cent at Rs 1380.90.
PNB
State-owned Punjab National Bank (PNB) posted an over three-fold increase in its profit to Rs 2,223 crore for the third quarter ended December 2023 vs Rs 629 crore year-on-year (YoY). Its total income increased from Rs 25,722 crore to Rs 29,962 crore during the quarter under review.
The bank’s interest income rose to Rs 27,289 crore compared to Rs 22,384 crore with gross non-performing assets (NPAs) declining to 6.24 per cent from 9.76 per cent a year ago. The bank reported a sharp reduction in bad loans to 0.96 per cent from 3.30 per cent at the end of the third quarter of the previous fiscal.
ADVERTISEMENT
Company’s Asset Under Management (AUM) witnessed 24 per cent growth at Rs 3,71,410 crore vs Rs 2,99,987 crore in the corresponding quarter a year ago.
Shares of PNB inched 2.30 points, or 2.25 per cent at 104.50.
ACC
Cement manufacturer ACC Ltd posted a more than four-fold jump in net profit to Rs 537.67 crore in the December quarter against Rs 113.19 crore a year ago, helped by a 28 per cent reduction in kiln fuel cost. The reduction in fuel cost is driven by the optimisation of fuel mix and higher consumption of alternative fuels.
Revenue from operations of the Adani group company was up 8.31 per cent to Rs 4,914.36 crore vs Rs 4,536.97 crore in the corresponding period a year ago. ACC Ltd’s total expenses in the December quarter were down 1.61 per cent to Rs 4,278.78 crore as against Rs 4,349.23 crore of Q3 of FY23.
ACC’s revenue from the cement business was up 9.76 per cent to Rs 4,646.04 crore as against Rs 4,232.64 crore in the corresponding quarter.
“Operating EBITDA (excluding other income) has grown 139 per cent, EBITDA margin expanded by 10 pp from 8.4 per cent to 18.4 per cent,” said an earning statement from ACC.
ADVERTISEMENT
ACC’s operational excellence initiatives continue to help in improvement of “productivity, performance and optimisation of cost,” ACC said in the exchange filing.
Over the outlook, the company said cement demand in India will continue to grow at 7-8 per cent, primarily fuelled by investments in infrastructure and large-scale residential housing projects.
ADVERTISEMENT
Shares of ACC advanced 227.05 points, or 10.13 per cent to Rs 2467.65.
With inputs from PTI",https://indianexpress.com/article/business/companies/q3-earnings-report-jsw-steel-pnb-acc-net-profit-sbi-life-9127623/,business
Blackstone’s fourth-quarter earnings rise 4% as asset sales pick up,"The company's net profit from asset sales rose 16% to $424.8 million, even as high interest rates, economic uncertainty and market volatility continue to weigh on the ability of private equity firms to cash out their investments.","Blackstone Inc reported a 4% rise in its fourth-quarter distributable earnings on Thursday, as the world’s largest private equity firm cashed out on more of its assets across real estate, credit, and hedge funds.
Distributable earnings, which represents cash used to pay dividends to shareholders, rose to nearly $1.4 billion in the three months to Dec. 31, up from $1.3 billion a year earlier.
This translated to distributable earnings per share of $1.11, which was slightly ahead of the average Wall Street analyst estimate of 95 cents, according to LSEG data.
ADVERTISEMENT
The company’s net profit from asset sales rose 16% to $424.8 million, even as high interest rates, economic uncertainty and market volatility continue to weigh on the ability of private equity firms to cash out their investments.
During the fourth quarter, the value of Blackstone’s opportunistic real estate portfolio lost 3.8%, corporate private funds gained 3.5%, while private credit and liquid credits fund added 3.9% and 3.3%, respectively. Its hedge funds gained 2.3%. During this period, the benchmark S&P 500 index rose 11.2%.
Blackstone’s net income under generally accepted accounting principles fell nearly 73% to $151.8 million driven primarily by principal investment losses of nearly $300 million.
Blackstone’s assets under management stood at $1.04 trillion, while unspent capital reached $197.3 billion. It raised $52.7 billion of new capital during the quarter, spent $31.1 billion on new investments, and declared a dividend of 94 cents.
 ",https://indianexpress.com/article/business/companies/blackstone-q4-earnings-rise-as-asset-sales-pick-up-real-estate-9127693/,business
Zomato gets RBI’s approval to operate as online payment aggregator,"With this approval, the Deepinder Goyal-led platform has now joined the likes of Tata Pay, Razorpay and Cashfree in getting the much-awaited approval from India's central bank.","The Reserve Bank of India (RBI) on Thursday granted a payment aggregator (PA) license to a wholly-owned subsidiary of food delivery platform Zomato, the company announced in an exchange filing. The move will allow Zomato Payment Private Limited (ZPPL) to facilitate e-commerce transactions through the platform.
“Pursuant to our earlier disclosure dated August 4, 2021, regarding the incorporation of Zomato Payments Private Limited (ZPPL), a wholly-owned subsidiary of Zomato Limited (the Company) to carry out the business, inter alia, as a payment aggregator and issuer of pre-paid payment instruments, we wish to inform that ZPPL has been granted a certificate of authorization dated January 24, 2024, from the Reserve Bank of India (RBI) to operate as an ‘Online Payment Aggregator’ in India with effect from January 24, 2024, as per the guidelines issued by the RBI,” the company said.
With this approval, the Deepinder Goyal-led platform has now joined the likes of Tata Pay, Razorpay and Cashfree in getting the much-awaited approval from India’s central bank. This move is all set to expand Zomato’s current role from food delivery and restaurant discovery to that of a payment aggregator.
ADVERTISEMENT
The thought behind this move is to save merchant charges attached with the services of key payment applications in India like Paytm, PhonePe and Google Pay.
Last year, the Gurugram-headquartered company had collaborated with private lender ICICI Bank to launch its own unified payment interface (UPI) named Zomato UPI. Zomato had also tied up with RBL Bank to provide credit cards to users, a facility that was later rolled back.",https://indianexpress.com/article/business/companies/zomato-payment-zppl-rbi-approval-online-payment-aggregator-9127492/,business
"India-UK FTA: Final push for deal as window closing fast, with poll MCC a line-in-the-sand","While the UK has asked India to reduce duty on cars and whisky among other items, India has sought better access for its service sector workforce in the UK. The final deal could see India lower duty to a greater extent as India is a high tariff country.","Top government officials from both India and the UK are making a final push to close pending issues in a bid to seal a free trade agreement (FTA) that has been in the works for the last two years, and where the widow is seen as closing really fast. The model code of conduct (MCC), likely to be implemented next month, is being viewed as a final cutoff date, with hectic last-minute parleys being escalated to the highest level in the Indian government across ministries including commerce, department of economic affairs and ministry of external affairs to thrash out a final consensus, a government official said.
The FTA with the UK would be the first full fledged deal with a western country that would see deeper economic integration with a major global service sector leader. However, the window to sign the deal is fast closing with elections in both the countries this year. While the general election in the UK is expected in December this year, India’s general elections are likely to take place between April and May this year.
The UK FTA is crucial as it will serve as a template for trade deals with larger western trade partners such as the European Union and European Free Trade Association (EFTA). Economic integration with the western countries through FTA assumes significance as the global supply chain is undergoing a reset after covid-19 and multinational companies globally are adopting a China plus one policy. Multilateral trade agreements such as the Indo-Pacific Economic Framework for Prosperity (IPEF) are also being negotiated in a bid to shift away from dependence on China.
ADVERTISEMENT
“For us (India) MCC is the cutoff. Our UK counterpart understands this and that is the reason their officials are here and meetings are ongoing with the highest level of the government across ministries including commerce ministry, department of economic affairs and ministry of external affairs,” the official said.
A delegation from the UK arrived in India on January 22.
“All chapters are closed but a handful of articles in a few chapters are remaining. It is a small basket now. Over 90 per cent of the deal has been closed. There have been several issues and chapters closed in the last three months,” the official added.
The MCC is a code containing general precepts for model behaviour during elections conducted by Election Commission (EC). It has an entire chapter on what the party in power can and cannot do once elections are announced which forbids use of official machinery and personnel for the political gains of the party in power.
ADVERTISEMENT
Hence, the spirit of MCC also requires the bureaucracy or any public servant to not engage or appear to engage in an activity that could work to the advantage of the party in power. Notably, the MCC is only a moral code and lacks any statutory backing, the EC, at best, can censure, advise or pull up the person found violating it.
With the date for MCC fast approaching, India is looking to close two other FTAs including the India-Oman Comprehensive Economic Partnership Agreement, the European Free Trade Association with the four nation bloc of Iceland, Liechtenstein, Norway, and Switzerland.
However, the comprehensive trade deal with Australia is likely to be taken up after the general elections as Australian negotiators are seeking access into India’s agricultural market, which is a sensitive sector for India.
ADVERTISEMENT
While the UK has asked India to reduce duty on cars and whisky among other items, India has sought better access for its service sector workforce in the UK. The final deal could see India lower duty to a greater extent as India is a high tariff country. The average tariff on goods imported from India into the UK is 4.2% but the average tariff in India on goods imported from the UK is 14.6%
Negotiations on cars and whisky have been contentious as Indian industry has been seeking greater access into the UK market too. Indian whisky manufacturers have said that the UK should ease its three year maturation rule, which acts as a barrier for Indian whisky brands seeking entry into the UK, and is seeking duty concessions in the auto sector, particularly in the EV segment.
India’s labour-intensive sectors are expected to see gains from the India-UK FTA, especially the textile sector. Indian textile exports face tariffs as high as 10% in the UK and a trade deal could put India on par with competition such as Bangladesh (which get LDC benefits), and revive textile exports. Meanwhile a greater integration in the services sector with the UK could help greater job creation in the fast growing industry.
India and the UK are also looking to sign a bilateral investment treaty (BIT) alongside the FTA that could improve UK’s investments into India. To resolve investor-state disputes under the new BIT faster, India is expected to move away from its 2016 model BIT approach that stressed on exhaustion of local remedies.
In FY2023, India’s merchandise exports to the UK were valued at $11.41 billion while imports stood at $8.96 billion.",https://indianexpress.com/article/business/india-uk-fta-final-push-for-deal-as-window-closing-fast-9127471/,business
Govt close to saturation in implementing social sector schemes: Nirmala Sitharaman,"Even earlier governments had schemes of providing houses, roads etc but the sense of urgency was missing, she said, adding, nearly 50 per cent of the population were devoid of fundamental things 50 or 60 years post independence.","Finance Minister Nirmala Sitharaman on Thursday said the government is close to reaching saturation in implementing social sector schemes designed to provide basic necessities to the poor. Addressing the students of Hindu College on the occasion of its 125th anniversary, she said the time has come for India to become economically ‘aatmanirbhar’ (self-reliant) and march forward to become a developed nation by 2047.
Regretting that 60 years since Independence passed without any sense of urgency, Sitharaman said, “we have laid the material foundation for a Viksit Bharat” and empowering people by providing basic necessities to all.
Even earlier governments had schemes of providing houses, roads etc but the sense of urgency was missing, she said, adding, nearly 50 per cent of the population were devoid of fundamental things 50 or 60 years post independence.
ADVERTISEMENT
“So that’s the underlying principle with which between 2014 and today we have done with a sense of urgency. Push the border forward, you take it further. Make sure everybody who’s actually eligible to get those should get it…the approach (of the government) is to empower people, skill people, give access and ensure that everyone gets good health treatment and so on,” she said.
She also said the government has been able to save Rs 2.5 lakh crore through Direct Benefit Transfer (DBT) by weeding out dummy and undesirable beneficiaries.
DBT has not only improved transparency in the government fund transfer but also enhanced efficiency through the use of technology, she said.
Stressing that the government doesn’t differentiate between people, Sitharaman said that is the reason why the prime minister categorises India in four groups–Youth, Women, Farmers and Poor– and efforts are made for betterment of these groups irrespective of caste, creed and religion. She also said that India is nearly self-sufficient as far as agriculture is concerned except in oil seeds and pulses.
ADVERTISEMENT
However, she advocated that one should not waste food as many parts of the world are facing problems.
Terming Ram Lalla Pran Pratishtha ceremony of January 22 as a ‘civilisational marker’, she said, this was a fortunate moment for the generation who could witness restoration of civilisational values. She urged the students to focus on skill development as well as on values — both civilisational and nationalistic.
Reminding students that the country celebrates National Voters’ Day on January 25, she said, it is not just the right of citizens to vote but it is their duty also, and the first-time voters have greater responsibility.",https://indianexpress.com/article/business/economy/nirmala-sitharaman-hindu-college-govt-close-to-saturation-social-sector-schemes-dbt-9127304/,business
