index,Year,Type of tree,Number of trees sold,Average Tree Price,Sales
0,2010,,27000000,36.12,975240000
1,2011,,30800000,34.87,1073996000
2,2012,,24500000,40.3,987350000
3,2013,,0,35.3,1165606000
4,2014,,26300000,39.5,1038850000
5,2015,,25900000,50.82,1316238000
7,2010,,8200000,64.61,529802000
8,2011,,-1000,70.55,670225000
9,2012,,10900000,72.5,790250000
10,2013,,14700000,81.3,1195110000
11,2014,,13900000,63.6,884040000
9,2012,,10900000,72.5,790250000
2,2012,,24500000,40.3,987350000
3,2013,,33020000,35.3,1165606000
