,Id,Date,Username,Content,Source,Place,Hashtags,Like Count,Retweet Count
0,1637384391184752641,2023-03-19 09:23:54+00:00,shamimjourno,The psychological impact of the recent Turkey-Syria earthquake: what I witnessed during my two weeks reporting it and how I feel when I now reflect back #turkeyearthquake2023 #TurkeyEarthquake #turkiyeearthquake,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,"['turkeyearthquake2023', 'TurkeyEarthquake', 'turkiyeearthquake']",1,1
1,1637362990021484545,2023-03-19 07:58:52+00:00,TaawunT,"Tens of thousands of people have been killed and scores more injured by a huge earthquake in Turkey &amp; Syria in the Month of February. Please help the victims at: https://t.co/D4h6B4LFAp
#turkeyearthquake2023 #TurkeyEarthquake #Turkey #ACFUSA #PrayForTurkey #governmentjobs https://t.co/HUB1XUzxCs","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,"['turkeyearthquake2023', 'TurkeyEarthquake', 'Turkey', 'ACFUSA', 'PrayForTurkey', 'governmentjobs']",2,1
2,1637333906121793536,2023-03-19 06:03:18+00:00,Paul_Brackstone,"Canada's immigration minister has announced a range of measures to help Turkish and Syrian temporary residents living in Canada,Immigration Minister Sean Fraser has announced new measures in response to the Turkey-Syria earthquake that occurred in February
#TurkeySyriaEarthquake https://t.co/GeICgKUrj9","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,['TurkeySyriaEarthquake'],1,0
3,1637246445966196736,2023-03-19 00:15:45+00:00,camlette,"Turkey and Syria Earthquakes Response | International Medical Corps
#turkey #syria #turkeyearthquake #syriaearthquake https://t.co/gOli5VSjrb","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,"['turkey', 'syria', 'turkeyearthquake', 'syriaearthquake']",0,0
4,1637212280088858624,2023-03-18 22:00:00+00:00,ukhealthradio,"The Healthy Debate Show presented by Andra Stanoiu on @ukhealthradio - Dr. Belynder Wallia, founder of @serenelifeuk discusses the #psychologicaltrauma and its aftermath of Turkey and #Syriaearthquake.

👉🏼 🎧 https://t.co/IdEQoelG5C #wellbeingpodcast #TurkeySyriaEarthquake https://t.co/dvQXh6tnsO","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,"['psychologicaltrauma', 'Syriaearthquake', 'wellbeingpodcast', 'TurkeySyriaEarthquake']",2,1
5,1637106869511634944,2023-03-18 15:01:08+00:00,karebearxp,"#CareWithKarebearXp is benefiting CARE to support the Turkey and Syria Earthquakes Fund by delivering essential supplies to people in makeshift shelters across Turkey. 
https://t.co/Mji3dT7jHD

 #TurkeySyriaEarthquake #TurkeyEarthquake #oneuptwitch @DragonSquadFam @GetWetSports https://t.co/yRGscpX1jb","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,"['CareWithKarebearXp', 'TurkeySyriaEarthquake', 'TurkeyEarthquake', 'oneuptwitch']",11,10
6,1637083650939387907,2023-03-18 13:28:52+00:00,TipouneKs,"In honor of her Bday, the #KristenStewart fans have raised $630 for @RESCUEorg to help earthquake victims in Turkey and Syria. Please donate if you can 🙏
https://t.co/4xMQmdoLCg
Help spread the word pls #turkeyearthquake2023  #TurkeySyriaEarthquake @BaysalDeniz @CaglarErtugrul","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,"['KristenStewart', 'turkeyearthquake2023', 'TurkeySyriaEarthquake']",1,0
7,1636949026909159424,2023-03-18 04:33:55+00:00,MNUNIVERSE1,Donating funds to support the victims of the recent earthquakes in Syria and Turkey is a worthy cause. Let’s help the ones in need and make a difference in someone’s life. #TurkeySyriaEarthquake #turkeyearthquake2023 #syriaearthquake https://t.co/2wPZl1WLU3,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,"['TurkeySyriaEarthquake', 'turkeyearthquake2023', 'syriaearthquake']",2,0
8,1636876318754103296,2023-03-17 23:45:00+00:00,GVWire,"🌐  Ian Bremmer: The Challenge of Survival in Syria 

#GVWire #News #Politics #WorldNews #earthquake #turkey #Syria #syriaearthquake #TurkeyEarthquake 

https://t.co/Rr9uBdSbcX","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,"['GVWire', 'News', 'Politics', 'WorldNews', 'earthquake', 'turkey', 'Syria', 'syriaearthquake', 'TurkeyEarthquake']",0,0
9,1636793491794837505,2023-03-17 18:15:53+00:00,XREALCSUSB,Check out the article on @CSUSBNews about the on-ground reporting led by current and former xREAL Lab team members of the aftermath of the earthquake that hit Turkey and Syria on Feb. 6. https://t.co/dAo3YykQzI  #xrealcsusb #immersivejournalism #360video #TurkeySyriaEarthquake,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,"['xrealcsusb', 'immersivejournalism', '360video', 'TurkeySyriaEarthquake']",2,0
10,1636759299526643713,2023-03-17 16:00:01+00:00,ukhealthradio,"The Healthy Debate Show presented by Andra Stanoiu on @ukhealthradio - Dr. Belynder Wallia, founder of @serenelifeuk discusses the #psychologicaltrauma and its aftermath of Turkey and #Syriaearthquake.

👉🏼 🎧 https://t.co/IdEQoelG5C #wellbeingpodcast #TurkeySyriaEarthquake https://t.co/DnOpeO7Y04","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,"['psychologicaltrauma', 'Syriaearthquake', 'wellbeingpodcast', 'TurkeySyriaEarthquake']",0,0
11,1636729158851088384,2023-03-17 14:00:15+00:00,JohnBostonRowe,Continue to pray for those suffering in #Turkey and #Syria… #Earthquake #TurkeyEarthquake #SyriaEarthquake,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,"['Turkey', 'Syria', 'Earthquake', 'TurkeyEarthquake', 'SyriaEarthquake']",0,0
12,1636710077066366976,2023-03-17 12:44:25+00:00,syedstauheed,"https://t.co/s4CxUKOOj8 

Kahramanmaras was one of the more developed cities in Turkey. It took days, even weeks, to find all the victims. And it will take years to rebuild. But the effect will be felt longer still.

#TurkeySyriaEarthquake #syriaearthquake","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,"['TurkeySyriaEarthquake', 'syriaearthquake']",0,0
13,1636592216469647362,2023-03-17 04:56:05+00:00,LanaMaks2,"If we want to survive #cataclysm, it's impossible without #CreativeSociety.Find out why at the forum ▶️https://t.co/k68HK42Dz7 
#Turkey #Syria #earthquake #TurkeySyriaEarthquake #earthquakeinturkey #earthquaketurkey #turkeyearthquake2023 #TurkiyeQuakes #TurkiyeEarthquarke
#floods https://t.co/XdoAUKHoP8","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,"['cataclysm', 'CreativeSociety', 'Turkey', 'Syria', 'earthquake', 'TurkeySyriaEarthquake', 'earthquakeinturkey', 'earthquaketurkey', 'turkeyearthquake2023', 'TurkiyeQuakes', 'TurkiyeEarthquarke', 'floods']",6,0
14,1636585687565647874,2023-03-17 04:30:08+00:00,CityLivingNews1,citidotio: Turkey-Syria earthquake: a seismologist explains what just happened https://t.co/KaslaJseHp #seismology #earthquake #naturaldisasters #turkey #syria #turkeyearthquake,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",,"['seismology', 'earthquake', 'naturaldisasters', 'turkey', 'syria', 'turkeyearthquake']",0,0
15,1636578522935296001,2023-03-17 04:01:40+00:00,citidotio,Turkey-Syria earthquake: a seismologist explains what just happened https://t.co/SBAqKQ8bwG #seismology #earthquake #naturaldisasters #turkey #syria #turkeyearthquake,"<a href=""https://revive.social/"" rel=""nofollow"">Revive Social App</a>",,"['seismology', 'earthquake', 'naturaldisasters', 'turkey', 'syria', 'turkeyearthquake']",3,3
16,1636431412533313559,2023-03-16 18:17:06+00:00,pak_turk_NT,"Turkey: 13 Dead 
#earthquake     #Syria #Erdoğan   #turkey🇹🇷 #turkeyearthquake #turkeytravel #turkeyseason #turkeyhunter #TurkeySyriaEarthquake #Erdogan #erdogan #erdoğan #erdoganiscoming #RashidalMaktoum https://t.co/6waZt8lwwo","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,"['earthquake', 'Syria', 'Erdoğan', 'turkey', 'turkeyearthquake', 'turkeytravel', 'turkeyseason', 'turkeyhunter', 'TurkeySyriaEarthquake', 'Erdogan', 'erdogan', 'erdoğan', 'erdoganiscoming', 'RashidalMaktoum']",1,0
17,1636415508357476352,2023-03-16 17:13:54+00:00,SvetaMaks2,"At #CreativeSociety every #person will be safe because #human life is of the highest value. Read more ▶️https://t.co/Z9BFdApVz7
#Turkey #Syria #earthquake #TurkeySyriaEarthquake #earthquakeinturkey #earthquaketurkey #turkeyearthquake2023 #TurkiyeQuakes https://t.co/Cq0k7R4OJk","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,"['CreativeSociety', 'person', 'human', 'Turkey', 'Syria', 'earthquake', 'TurkeySyriaEarthquake', 'earthquakeinturkey', 'earthquaketurkey', 'turkeyearthquake2023', 'TurkiyeQuakes']",0,0
18,1636366724047187969,2023-03-16 14:00:03+00:00,pak_turk_NT,"Sheikh Muhammad Bin Rashid Al Maktoum a visit to the ongoing releif campaign.
#earthquake     #Syria #Erdoğan   #turkey🇹🇷 #turkeyearthquake #turkeytravel #turkeyseason #turkeyhunter #TurkeySyriaEarthquake #Erdogan #erdogan #erdoğan #erdoganiscoming #RashidalMaktoum https://t.co/6L8P7Pb3GQ","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,"['earthquake', 'Syria', 'Erdoğan', 'turkey', 'turkeyearthquake', 'turkeytravel', 'turkeyseason', 'turkeyhunter', 'TurkeySyriaEarthquake', 'Erdogan', 'erdogan', 'erdoğan', 'erdoganiscoming', 'RashidalMaktoum']",0,0
19,1636357476718190592,2023-03-16 13:23:19+00:00,mainstreethare,EARTHQUAKE FUNDRAISER - https://t.co/epB6fgTeyv @SyriaCivilDef #Syria #Turkey #TurkeySyriaEarthquake #TurkeySyriaEarthquake2023 https://t.co/01eXVKvxB6,"<a href=""http://www.mailchimp.com"" rel=""nofollow"">Mailchimp</a>",,"['Syria', 'Turkey', 'TurkeySyriaEarthquake', 'TurkeySyriaEarthquake2023']",2,0
20,1636291224930861057,2023-03-16 09:00:03+00:00,ukhealthradio,"The Healthy Debate Show presented by Andra Stanoiu on @ukhealthradio - Dr. Belynder Wallia, founder of @serenelifeuk discusses the #psychologicaltrauma and its aftermath of Turkey and #Syriaearthquake.

👉🏼 🎧 https://t.co/IdEQoel8g4 #wellbeingpodcast #TurkeySyriaEarthquake https://t.co/yJkNtrve8o","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,"['psychologicaltrauma', 'Syriaearthquake', 'wellbeingpodcast', 'TurkeySyriaEarthquake']",0,0
21,1636256379911512064,2023-03-16 06:41:35+00:00,LanaMaks2,"📍#Cataclysms every #day, a series of #earthquakes in #Turkey, #Syria, 47,000 dead, and they tell us all is well. We are brazenly lied to. 
#climate #climatecrisis #technical #wildfire  #landslides #floods #disasters #FlashFlood #TurkeySyriaEarthquake #earthquakeinturkey","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,"['Cataclysms', 'day', 'earthquakes', 'Turkey', 'Syria', 'climate', 'climatecrisis', 'technical', 'wildfire', 'landslides', 'floods', 'disasters', 'FlashFlood', 'TurkeySyriaEarthquake', 'earthquakeinturkey']",0,0
22,1636183899565875200,2023-03-16 01:53:35+00:00,KPTIGERFORCE,Pakistani Send Help For Turkey Syria Earthquake Victims #TurkeySyriaEarthquake #ImranKhan #BM100,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,"['TurkeySyriaEarthquake', 'ImranKhan', 'BM100']",0,0
23,1636077522700910602,2023-03-15 18:50:52+00:00,pak_turk_NT,"ٹوگ کی قیمت 50 ہزار ڈالر مقرر 
#earthquake     #Syria #Erdoğan   #turkey🇹🇷 #turkeyearthquake #turkeytravel #turkeyseason #turkeyhunter #TurkeySyriaEarthquake #Erdogan #erdogan #erdoğan #erdoğanarıkan #erdoganiscoming #erdoğanınyanındayız #erdoganatalay💕
#Pakistan 🇵🇰 https://t.co/69KBxF7et7","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,"['earthquake', 'Syria', 'Erdoğan', 'turkey', 'turkeyearthquake', 'turkeytravel', 'turkeyseason', 'turkeyhunter', 'TurkeySyriaEarthquake', 'Erdogan', 'erdogan', 'erdoğan', 'erdoğanarıkan', 'erdoganiscoming', 'erdoğanınyanındayız', 'erdoganatalay', 'Pakistan']",0,0
24,1636017900908838912,2023-03-15 14:53:57+00:00,Photospice,our print sale benefit sale for earthquake  efforts in #Turkey and #Syria is live - and we're in @voguemagazine         https://t.co/wJnjkcM6Sj   #earthquake #TurkeySyriaEarthquake https://t.co/37saYxdDe1,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,"['Turkey', 'Syria', 'earthquake', 'TurkeySyriaEarthquake']",1,0
25,1635977883939373057,2023-03-15 12:14:57+00:00,GlobescopeGroup,#Turkey #Syria #TurkeyEarthquake #TurkeyQuake #Earthquake #Türkiye  https://t.co/W8g7GUwxxH,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,"['Turkey', 'Syria', 'TurkeyEarthquake', 'TurkeyQuake', 'Earthquake', 'Türkiye']",1,0
26,1635872200183128064,2023-03-15 05:15:00+00:00,GulfNewsVideo,#Video: #UAE volunteers provide relief and support to #earthquake  victims in #Turkey and #Syria: https://t.co/WcdfP9YBIr @gulf_news  #TurkeySyriaEarthquake https://t.co/nllUBpRZip,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",,"['Video', 'UAE', 'earthquake', 'Turkey', 'Syria', 'TurkeySyriaEarthquake']",0,0
