index,Year,Ozone Hole Area (Million Square Km),Minimum Ozone (Dobson Units)
20.0,1999.0,18.0375,225.0
20.0,1999.0,18.0375,130.375
20.0,1999.0,18.0375,130.375
20.0,1999.0,18.0375,130.375
20.0,1999.0,18.0375,130.375
20.0,1999.0,18.0375,130.375
20.0,1999.0,18.0375,130.375
20.0,1999.0,18.0375,130.375
20.0,1999.0,18.0375,130.375
20.0,1999.0,18.0375,130.375
20.0,1999.0,18.0375,130.375
20.0,1999.0,18.0375,130.375
20.0,1999.0,18.0375,130.375
20.0,1999.0,18.0375,130.375
20.0,1999.0,18.0375,130.375
20.0,1999.0,18.0375,130.375
20.0,1999.0,18.0375,130.375
20.0,1999.0,18.0375,130.375
20.0,1999.0,18.0375,130.375
20.0,1999.0,18.0375,130.375
20.0,1999.0,18.0375,130.375
20.0,1999.0,18.0375,130.375
20.0,1999.0,18.0375,130.375
20.0,1999.0,18.0375,130.375
20.0,1999.0,18.0375,130.375
20.0,1999.0,18.0375,130.375
20.0,1999.0,18.0375,130.375
20.0,1999.0,18.0375,130.375
20.0,1999.0,18.0375,130.375
20.0,1999.0,18.0375,130.375
20.0,1999.0,18.0375,130.375
20.0,1999.0,18.0375,130.375
20.0,1999.0,18.0375,130.375
20.0,1999.0,18.0375,130.375
20.0,1999.0,18.0375,130.375
20.0,1999.0,18.0375,130.375
20.0,1999.0,18.0375,130.375
20.0,1999.0,18.0375,130.375
20.0,1999.0,18.0375,130.375
20.0,1999.0,18.0375,130.375
20.0,1999.0,18.0375,130.375
