Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Year,Month,Day
12,33,22,1,0,54.54,2,lbw,1,v Sri Lanka,Dambulla,2008-08-18,2008,8,18
37,82,67,6,0,55.22,2,caught,2,v Sri Lanka,Dambulla,2008-08-20,2008,8,20
25,40,38,4,0,65.78,1,run out,1,v Sri Lanka,Colombo (RPS),2008-08-24,2008,8,24
54,87,66,7,0,81.81,1,bowled,1,v Sri Lanka,Colombo (RPS),2008-08-27,2008,8,27
31,45,46,3,1,67.39,1,lbw,2,v Sri Lanka,Colombo (RPS),2008-08-29,2008,8,29
2*,6,2,0,0,100,7,not out,1,v Sri Lanka,Colombo (RPS),2009-09-14,2009,9,14
30,53,41,3,0,73.17,4,caught,2,v Australia,Vadodara,2009-10-25,2009,10,25
10,32,16,1,0,62.5,3,caught,2,v Australia,Mohali,2009-11-02,2009,11,2
27,20,19,4,0,142.1,7,bowled,1,v Sri Lanka,Rajkot,2009-12-15,2009,12,15
54,93,65,7,0,83.07,4,lbw,1,v Sri Lanka,Nagpur,2009-12-18,2009,12,18
107,-,114,11,1,93.85,4,caught,2,v Sri Lanka,Kolkata,2009-12-24,2009,12,24
91,136,102,7,0,89.21,3,caught,2,v Bangladesh,Dhaka,2010-01-07,2010,1,7
102*,128,95,11,0,107.36,3,not out,2,v Bangladesh,Dhaka,2010-01-11,2010,1,11
31,-,46,1,0,67.39,5,caught,1,v South Africa,Jaipur,2010-02-21,2010,2,21
57,-,71,4,1,80.28,3,caught,2,v South Africa,Ahmedabad,2010-02-27,2010,2,27
0,3,0,0,0,-,3,run out,1,v Zimbabwe,Bulawayo,2010-05-28,2010,5,28
18,28,29,1,0,62.06,3,caught,1,v Zimbabwe,Harare,2010-06-03,2010,6,3
10,13,14,1,0,71.42,3,caught,1,v Sri Lanka,Dambulla,2010-06-22,2010,6,22
28,57,34,4,0,82.35,3,caught,1,v Sri Lanka,Dambulla,2010-06-24,2010,6,24
0,5,3,0,0,0,3,caught,2,v Sri Lanka,Dambulla,2010-08-16,2010,8,16
37,98,57,5,0,64.91,3,caught,2,v Sri Lanka,Dambulla,2010-08-28,2010,8,28
118,193,121,11,1,97.52,3,caught,2,v Australia,Visakhapatnam,2010-10-20,2010,10,20
105,162,104,10,0,100.96,3,caught,1,v New Zealand,Guwahati,2010-11-28,2010,11,28
64,78,73,8,0,87.67,3,caught,2,v New Zealand,Jaipur,2010-12-01,2010,12,1
63*,83,70,6,2,90,3,not out,2,v New Zealand,Vadodara,2010-12-04,2010,12,4
0,3,2,0,0,0,3,caught,2,v New Zealand,Bengaluru,2010-12-07,2010,12,7
2,10,8,0,0,25,3,caught,2,v New Zealand,Chennai,2010-12-10,2010,12,10
54,122,70,2,1,77.14,3,caught,2,v South Africa,Durban,2011-01-12,2011,1,12
22,43,34,1,0,64.7,3,run out,1,v South Africa,Johannesburg,2011-01-15,2011,1,15
28,51,41,5,0,68.29,3,caught,2,v South Africa,Cape Town,2011-01-18,2011,1,18
87*,126,92,7,2,94.56,3,not out,2,v South Africa,Port Elizabeth,2011-01-21,2011,1,21
2,11,6,0,0,33.33,3,caught,2,v South Africa,Centurion,2011-01-23,2011,1,23
100*,113,83,8,2,120.48,4,not out,1,v Bangladesh,Dhaka,2011-02-19,2011,2,19
34,82,53,3,0,64.15,4,run out,2,v Ireland,Bengaluru,2011-03-06,2011,3,6
12,16,20,2,0,60,5,bowled,2,v Netherlands,Delhi,2011-03-09,2011,3,9
1,2,3,0,0,33.33,7,caught,1,v South Africa,Nagpur,2011-03-12,2011,3,12
59,128,76,5,0,77.63,3,bowled,1,v West Indies,Chennai,2011-03-20,2011,3,20
24,38,33,1,0,72.72,4,caught,2,v Australia,Ahmedabad,2011-03-24,2011,3,24
9,20,21,0,0,42.85,4,caught,1,v Pakistan,Mohali,2011-03-30,2011,3,30
35,69,49,4,0,71.42,4,caught,2,v Sri Lanka,Mumbai,2011-04-02,2011,4,2
2,5,8,0,0,25,3,caught,2,v West Indies,Port of Spain,2011-06-06,2011,6,6
81,118,103,6,1,78.64,3,caught,2,v West Indies,Port of Spain,2011-06-08,2011,6,8
0,1,1,0,0,0,3,lbw,2,v West Indies,North Sound,2011-06-11,2011,6,11
22,68,33,1,0,66.66,3,stumped,2,v West Indies,North Sound,2011-06-13,2011,6,13
94,135,104,10,0,90.38,3,run out,1,v West Indies,Kingston,2011-06-16,2011,6,16
9,9,9,0,0,100,4,caught,1,v England,Southampton,2011-09-06,2011,9,6
7,18,18,0,0,38.88,4,caught,1,v England,The Oval,2011-09-09,2011,9,9
107,102,93,9,1,115.05,4,hit wicket,1,v England,Cardiff,2011-09-16,2011,9,16
37,70,63,0,0,58.73,4,caught,1,v England,Hyderabad (Deccan),2011-10-14,2011,10,14
112*,134,98,16,0,114.28,4,not out,2,v England,Delhi,2011-10-17,2011,10,17
35,42,30,5,0,116.66,4,lbw,2,v England,Mohali,2011-10-20,2011,10,20
86*,-,99,11,0,86.86,4,not out,2,v England,Mumbai,2011-10-23,2011,10,23
0,5,5,0,0,0,3,bowled,1,v England,Kolkata,2011-10-25,2011,10,25
3,13,6,0,0,50,4,bowled,2,v West Indies,Cuttack,2011-11-29,2011,11,29
117,154,123,14,0,95.12,4,caught,2,v West Indies,Visakhapatnam,2011-12-02,2011,12,2
20,21,30,3,0,66.66,4,lbw,2,v West Indies,Ahmedabad,2011-12-05,2011,12,5
23*,15,11,3,0,209.09,6,not out,1,v West Indies,Indore,2011-12-08,2011,12,8
80,99,85,5,0,94.11,5,caught,1,v West Indies,Chennai,2011-12-11,2011,12,11
31,30,34,3,0,91.17,3,caught,2,v Australia,Melbourne,2012-02-05,2012,2,5
18,41,28,1,0,64.28,3,caught,2,v Australia,Adelaide,2012-02-12,2012,2,12
12,44,25,0,0,48,3,caught,2,v Australia,Brisbane,2012-02-19,2012,2,19
21,36,27,2,0,77.77,4,caught,2,v Australia,Sydney,2012-02-26,2012,2,26
66,126,82,5,0,80.48,3,bowled,1,v Bangladesh,Dhaka,2012-03-16,2012,3,16
106,158,113,9,0,93.8,3,caught,1,v Sri Lanka,Hambantota,2012-07-21,2012,7,21
1,6,5,0,0,20,3,caught,1,v Sri Lanka,Hambantota,2012-07-24,2012,7,24
38,80,65,2,0,58.46,3,caught,2,v Sri Lanka,Colombo (RPS),2012-07-28,2012,7,28
128*,187,119,12,1,107.56,3,not out,2,v Sri Lanka,Colombo (RPS),2012-07-31,2012,7,31
23,42,35,2,0,65.71,3,lbw,1,v Sri Lanka,Pallekele,2012-08-04,2012,8,4
0,9,5,0,0,0,3,bowled,1,v Pakistan,Chennai,2012-12-30,2012,12,30
6,12,9,1,0,66.66,3,caught,2,v Pakistan,Kolkata,2013-01-03,2013,1,3
7,25,17,1,0,41.17,3,caught,1,v Pakistan,Delhi,2013-01-06,2013,1,6
15,45,22,1,0,68.18,3,caught,2,v England,Rajkot,2013-01-11,2013,1,11
37,86,54,1,1,68.51,3,caught,1,v England,Kochi,2013-01-15,2013,1,15
77*,110,79,9,2,97.46,3,not out,2,v England,Ranchi,2013-01-19,2013,1,19
26,44,33,3,0,78.78,3,caught,2,v England,Mohali,2013-01-23,2013,1,23
0,1,1,0,0,0,3,caught,1,v England,Dharamsala,2013-01-27,2013,1,27
43,66,34,4,1,126.47,3,caught,1,v England,Birmingham,2013-06-23,2013,6,23
11,19,21,0,1,52.38,3,caught,1,v West Indies,Kingston,2013-06-30,2013,6,30
102,120,83,13,2,122.89,3,caught,1,v West Indies,Port of Spain,2013-07-05,2013,7,5
115,133,108,13,1,106.48,3,caught,2,v Zimbabwe,Harare,2013-07-24,2013,7,24
14,35,18,2,0,77.77,3,caught,1,v Zimbabwe,Harare,2013-07-26,2013,7,26
68*,128,88,5,1,77.27,3,not out,2,v Zimbabwe,Harare,2013-07-28,2013,7,28
61,121,85,6,0,71.76,3,lbw,2,v Australia,Pune,2013-10-13,2013,10,13
100*,82,52,8,7,192.3,3,not out,2,v Australia,Jaipur,2013-10-16,2013,10,16
68,121,73,9,0,93.15,3,caught,1,v Australia,Mohali,2013-10-19,2013,10,19
115*,104,66,18,1,174.24,3,not out,2,v Australia,Nagpur,2013-10-30,2013,10,30
