order_id,order_date,sku,color,size,unit_price,quantity,revenue
1,2022/6/1 16:05:00,708,Dark Blue,2XL,298,1,298
1,2022/6/1 16:05:00,89,Dark Blue,2XL,258,1,258
2,2022/6/10 17:03:00,bobo,Cream,One Size,228,1,228
3,2022/6/10 19:59:00,799,Dark Blue,XL,264,1,264
4,2022/6/11 11:42:00,799,Dark Blue,M,264,1,264
5,2022/6/11 14:46:00,799,Dark Blue,XL,264,1,264
6,2022/6/11 19:23:00,799,Dark Blue,XL,264,1,264
7,2022/6/11 19:54:00,708,Dark Blue,3XL,278,1,278
8,2022/6/11 21:09:00,708,Dark Blue,XL,278,1,278
9,2022/6/11 22:53:00,239,Black,,258,1,258
10,2022/6/12 17:32:00,708,Dark Blue,XL,278,1,278
11,2022/6/12 21:16:00,708,Dark Blue,3XL,278,1,278
12,2022/6/12 8:47:00,708,Dark Blue,3XL,278,1,278
13,2022/6/13 10:11:00,799,Dark Blue,XL,264,1,264
14,2022/6/14 0:07:00,799,Dark Blue,M,264,1,264
15,2022/6/14 14:38:00,bobo,Navy Blue,One Size,228,1,228
15,2022/6/14 14:38:00,bobo,Blue,One Size,228,1,228
15,2022/6/14 14:38:00,bobo,Light Gray,One Size,228,1,228
16,2022/6/14 22:31:00,708,Dark Blue,XL,278,1,278
17,2022/6/15 10:46:00,708,Dark Blue,2XL,278,1,278
18,2022/6/15 13:36:00,77,B,,258,1,258
18,2022/6/15 13:36:00,77,C,,258,1,258
18,2022/6/15 13:36:00,77,D,,258,1,258
18,2022/6/15 13:36:00,77,E,,258,1,258
18,2022/6/15 13:36:00,77,A,,288,1,288
19,2022/6/15 20:42:00,799,Dark Blue,XL,264,1,264
20,2022/6/15 21:22:00,799,Dark Blue,XL,264,1,264
21,2022/6/15 5:50:00,799,Dark Blue,XL,264,1,264
22,2022/6/15 7:30:00,799,Dark Blue,XL,264,1,264
23,2022/6/16 20:12:00,799,Dark Blue,L,264,1,264
24,2022/6/16 7:47:00,708,Dark Blue,3XL,278,1,278
25,2022/6/17 10:57:00,708,Dark Blue,3XL,278,1,278
26,2022/6/18 11:31:00,708,Dark Blue,3XL,278,1,278
27,2022/6/18 19:51:00,708,Dark Blue,XL,278,1,278
28,2022/6/18 20:13:00,708,Dark Blue,3XL,278,1,278
29,2022/6/18 8:36:00,897,Mid Wash,L,268,1,268
29,2022/6/18 8:36:00,708,Dark Blue,XL,278,1,278
30,2022/6/19 13:41:00,708,Dark Blue,2XL,278,1,278
31,2022/6/19 9:44:00,799,Dark Blue,XL,264,1,264
32,2022/6/2 12:57:00,799,Dark Blue,XL,288,1,288
33,2022/6/20 17:55:00,708,Dark Blue,3XL,278,1,278
34,2022/6/21 10:20:00,708,Dark Blue,XL,278,1,278
35,2022/6/21 10:44:00,708,Dark Blue,XL,278,1,278
36,2022/6/21 7:00:00,799,Dark Blue,L,264,1,264
37,2022/6/22 17:45:00,9699,Light Blue,One Size,288,1,288
37,2022/6/22 17:45:00,799,Dark Blue,XL,264,1,264
38,2022/6/23 13:08:00,708,Dark Blue,XL,278,1,278
39,2022/6/23 15:24:00,708,Dark Blue,XL,278,1,278
40,2022/6/23 17:35:00,127,Dark Wash,One Size,238,1,238
41,2022/6/24 13:23:00,708,Dark Blue,XL,278,1,278
42,2022/6/24 14:13:00,708,Dark Blue,3XL,278,1,278
43,2022/6/24 16:43:00,708,Dark Blue,3XL,278,1,278
44,2022/6/24 6:47:00,897,Dark Wash,XL,268,1,268
44,2022/6/24 6:47:00,89,Dark Blue,3XL,258,1,258
45,2022/6/25 12:33:00,708,Dark Blue,3XL,298,1,298
46,2022/6/25 20:47:00,799,Dark Blue,M,288,1,288
47,2022/6/26 0:33:00,9699,Light Blue,One Size,288,1,288
48,2022/6/26 21:58:00,1719,Thin Blue,One Size,268,1,268
48,2022/6/26 21:58:00,127,Mid Wash,One Size,238,1,238
49,2022/6/26 9:27:00,799,Dark Blue,XL,288,1,288
50,2022/6/27 10:08:00,799,Dark Blue,M,288,1,288
51,2022/6/28 14:41:00,799,Dark Blue,M,288,1,288
52,2022/6/28 19:31:00,708,Dark Blue,2XL,298,1,298
53,2022/6/3 11:52:00,799,Dark Blue,L,288,1,288
54,2022/6/3 22:00:00,708,Dark Blue,2XL,278,1,278
54,2022/6/3 22:00:00,9699,Dark Blue,One Size,288,1,288
55,2022/6/30 12:26:00,439,Rust,,258,1,258
56,2022/6/5 7:05:00,799,Dark Blue,L,288,1,288
57,2022/6/5 7:18:00,77,B,,258,1,258
58,2022/6/6 0:01:00,3799,Grey Wash,XL,246,1,246
59,2022/6/6 0:06:00,799,Dark Blue,XL,264,1,264
