Country,Location,YearFrom,YearTo,X,Y,Distance,Turn
Azerbaijan,Baku,2022,2023,2413,-28,146.6268104,T1
Azerbaijan,Baku,2022,2023,3679,997,320.3138889,T2
Azerbaijan,Baku,2022,2023,-4861,-1533,1692.274989,T3
Azerbaijan,Baku,2022,2023,-5597,-2111,1803.033056,T4
Azerbaijan,Baku,2022,2023,-7653,-3242,2034.260029,T5
Azerbaijan,Baku,2022,2023,-7905,-4175,2147.409387,T6
Azerbaijan,Baku,2022,2023,-10797,-6215,2502.288118,T7
Azerbaijan,Baku,2022,2023,-10969,-5888,2539.783889,T8
Azerbaijan,Baku,2022,2023,-11471,-4347,2701.039444,T9
Azerbaijan,Baku,2022,2023,-11876,-4200,2739.929479,T10
Azerbaijan,Baku,2022,2023,-12487,-4037,2803.988333,T11
Azerbaijan,Baku,2022,2023,-12631,-3607,2855.011617,T12
Azerbaijan,Baku,2022,2023,-12636,-3604,2855.666111,T13
Azerbaijan,Baku,2022,2023,-16907,-7435,3484.302778,T14
Azerbaijan,Baku,2022,2023,-16881,-8060,3548.358333,T15
Azerbaijan,Baku,2022,2023,-16251,-9902,3764.170556,T16
Azerbaijan,Baku,2022,2023,-13722,-11130,4052.874722,T17
Azerbaijan,Baku,2022,2023,-11641,-8418,4403.378812,T18
Azerbaijan,Baku,2022,2023,-10561,-6406,4640.356389,T19
Azerbaijan,Baku,2022,2023,-7789,-4218,4995.845517,T20
