Size (cm),Weight (g),Brix (Sweetness),pH (Acidity),Softness (1-5),HarvestTime (days),Ripeness (1-5),Color,Variety,Blemishes (Y/N),Quality (1-5)
7.5,180,12,3.2,2,10,4,Orange,Valencia,N,4
8.2,220,10.5,3.4,3,14,4.5,Deep Orange,Navel,N,4.5
6.8,150,14,3,1,7,5,Light Orange,Cara Cara,N,5
9,250,8.5,3.8,4,21,3.5,Orange-Red,Blood Orange,N,3.5
8.5,210,11.5,3.3,2.5,12,5,Orange,Hamlin,Y (Minor),4.5
6.7,126,9.1,3,2,25,2,Orange,Navel,N,1
7.2,160,9,3.5,3.5,9,4,Yellow-Orange,Tangelo (Hybrid),N,4
6.5,130,13.5,2.8,1.5,5,4.5,Light Orange,Murcott (Hybrid),N,4.5
8.8,240,7.5,4,5,18,3,Deep Orange,Moro (Blood),Y (Sunburn),3
7.8,190,12,3.1,2,11,4.5,Orange,Jaffa,N,5
9.5,270,6,4.2,4.5,24,2.5,Orange-Red,Cara Cara,Y (Mold Spot),2.5
7.8,183,14.8,3.7,2,12,3,Deep Orange,Valencia,Y (Mold Spot),4
8,200,10,3.5,3,13,4,Orange,Clementine,N,4.5
7,140,11,3.2,2.5,8,4.5,Deep Orange,Washington Navel,N,5
9.2,260,9.5,3.7,4.5,20,4,Orange-Red,Star Ruby,N,4
6.3,120,14.5,2.9,1,6,5,Light Orange,Tangerine,N,5
8.7,230,8,3.9,3.5,17,3.5,Orange,Ambiance,Y (Bruise),3.5
9.6,218,14.1,4.2,4,11,1,Deep Orange,Cara Cara,Y (Sunburn),4
7.5,247,9.1,3.3,4,24,5,Light Orange,Clementine,N,2
7.4,170,12.5,3,2,10,4,Yellow-Orange,Jaffa,N,4.5
10,300,7,4.1,5,25,3,Orange-Red,Blood Orange,N,3
8.1,205,11,3.4,2.5,14,4.5,Deep Orange,Murcott (Hybrid),N,5
7.6,180,9,3.3,3,11,4,Orange,California Valencia,N,4.5
9.8,280,6.5,4.3,5,23,2.5,Orange-Red,Moro (Blood),Y (Split Skin),2
7.9,190,10.5,3.1,2.5,12,4,Orange,Honey Tangerine,N,4.5
8.4,215,8.5,3.8,4,16,3.5,Deep Orange,Navel (Late Season),N,4
6.7,140,13,3,1.5,7,4.5,Light Orange,Clementine (Seedless),N,5
6.3,111,10,4.3,4,10,5,Orange-Red,Cara Cara,N,4
7.5,177,8.6,3.5,4,11,1,Light Orange,Temple,N,1
9,240,7.5,4,4.5,20,3,Orange-Red,Cara Cara,Y (Sunburn Patch),3
8.3,220,11,3.3,3,15,4,Orange,Hamlin,N,4.5
7.1,150,9.5,3.4,3.5,9,4,Yellow-Orange,Minneola (Hybrid),N,4.5
7.7,185,12,3.2,2,11,4.5,Deep Orange,Temple,N,5
8.9,245,8,3.9,4,19,3,Orange-Red,Moro (Blood),N,4
6.2,110,15,2.8,1,5,5,Light Orange,Satsuma Mandarin,N,5
8.6,225,9.5,3.6,3,17,4,Orange,Midsweet (Hybrid),Y (Scars),3.5
7.3,165,10,3.3,2.5,9,4.5,Deep Orange,California Valencia,N,5
9.7,285,7,4.2,4.5,22,2.5,Orange-Red,Cara Cara,Y (Mold Spot),2.5
8,200,11.5,3.4,3,13,4,Orange,Navel (Early Season),N,4.5
7.5,175,8.5,3.7,4,10,3.5,Deep Orange,Ambiance,N,4
9.2,260,10.5,3.2,4,20,4.5,Orange-Red,Star Ruby,N,4.5
6.4,125,13.5,3,1.5,6,5,Light Orange,Tangerine,N,5
7.8,190,9,3.5,3.5,12,4,Yellow-Orange,Ortanique (Hybrid),N,4.5
8.3,210,12.5,3.1,2,15,4.5,Deep Orange,Washington Navel,N,5
6.6,135,14,2.9,1,7,5,Light Orange,Clementine (Seedless),N,5
7.7,185,12,3.2,2,11,4.5,Deep Orange,Jaffa,N,5
8.9,240,8.5,3.8,4.5,18,3.5,Orange-Red,Cara Cara,N,4.5
8.2,215,10,3.4,3,14,4,Orange,Hamlin,N,4.5
9.4,275,6.5,4.1,5,24,2.5,Orange-Red,Moro (Blood),N,3
7.2,160,11.5,3.2,2,8,4.5,Deep Orange,Temple,N,5
8.8,230,9,3.7,4,18,3.5,Orange-Red,Midsweet (Hybrid),Y (Scars),3.5
6.1,105,14,2.9,1,4,5,Light Orange,Satsuma Mandarin,N,5
8.5,220,10.5,3.3,2.5,16,4,Orange,California Valencia,N,4.5
9.9,290,5.5,4.4,5,23,2,Orange-Red,Cara Cara,Y (Mold Spot),2
7.7,185,12,3.1,3,11,4.5,Orange,Navel (Early Season),N,4.5
7.4,170,8,3.8,4,9,3.5,Deep Orange,Ambiance,N,4
9.1,255,11,3.2,4,19,4.5,Orange-Red,Star Ruby,N,4.5
6.3,120,12.5,3,1.5,5,5,Light Orange,Tangerine,Y (Sunburn Patch),5
7.6,180,9.5,3.4,3.5,10,4,Yellow-Orange,Ortanique (Hybrid),N,4.5
8.1,205,13,3,2,13,4.5,Deep Orange,Washington Navel,N,5
6.5,130,13.5,2.9,1,6,5,Light Orange,Clementine (Seedless),N,5
8.7,235,7,4,4.5,17,3,Orange-Red,Cara Cara,Y (Sunburn Patch),3
8,200,10.5,3.3,3,12,4,Orange,Hamlin,N,4.5
7.3,165,11.5,3.2,2.5,8,4.5,Deep Orange,California Valencia,N,5
9,240,8.5,3.9,4.5,20,3.5,Orange-Red,Moro (Blood),Y (Minor Insect Damage),4
6.8,140,12,3,1.5,7,5,Light Orange,Honey Tangerine,N,5
8.4,215,7.5,4,4,15,3,Deep Orange,Navel (Late Season),N,4
7.1,150,10,3.3,3,9,4,Yellow-Orange,Minneola (Hybrid),Y (Bruising),3.5
9.6,280,6,4.2,5,22,2,Orange-Red,Cara Cara,Y (Split Skin),2.5
7.9,190,11,3.2,2,12,4.5,Deep Orange,Temple,N,5
