Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,1.01,0.4,168.16,,43.92,52.04,5.97,2.93
Albania,,,,,,,41.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,7.0,0.0,2.0,1.0,,,0.23,,,,4.19,8.91
Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.04,0.23,1.02,6.26,2.98,5.47,9.13
Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,0.0,0.01,6.98,0.17,0.94,2.66,20.12,5.07,5.48
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,0.0,83.0,0.0,1.03,0.01,0.01,,,0.01,0.02,45.8
Argentina,46072.0,36029.0,36530.0,44258.0,43355.0,41175.0,35042.0,56806.0,58987.0,52144.0,49999.71,58110.0,57643.0,59062.0,67819.0,68270.0,72056.0,75767.0,77498.0,69816.0,85695.0,86650.0,78056.0,77291.0,76892.3,76029.13,78176.97,74921.24,72619.29,75321.95,65977.89,64201.15
Armenia,,,,,,14.0,0.0,,,44.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,9.89,56.19,12.0,13.29,25.35,11.59,40.12,91.04
Australia,365.0,273.0,214.0,344.0,1688.0,2463.0,3123.0,2979.0,2655.0,2424.0,1777.0,792.0,783.0,811.0,650.0,664.0,443.0,649.0,1447.0,1618.0,1299.0,1118.0,828.0,1244.0,1416.87,846.83,1371.43,1365.99,1185.26,1407.04,1232.37,1217.81
Austria,382.0,258.0,253.0,570.0,684.0,794.0,651.0,971.0,631.0,682.0,489.0,594.0,442.0,779.0,804.0,1187.0,2066.0,2343.0,2098.0,1978.0,2201.0,1953.0,2089.0,2183.0,2209.03,1638.89,1514.22,1005.01,1047.69,974.91,1148.95,1283.88
Azerbaijan,,,,22.0,1972.0,1274.0,918.0,1563.0,1200.0,2468.0,1229.0,1571.0,2284.0,1853.0,6747.0,5213.0,6422.0,5988.0,5252.0,6265.0,8126.0,7520.0,7036.0,7586.0,5440.5,,,,1367.02,1505.94,1357.23,1115.66
Bahamas,,,,,,,,,,,47.0,19.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.01,0.35,0.13,,0.44
Bahrain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,19.0,46.0,120.0,28.0,17.0,3.0,3.0,2.0,10.0,25.0,4.0,3.0,19.53,7.79,43.98,43.24,16.99,35.32,12.44,28.82
Bangladesh,21126.0,26862.0,24990.0,29620.0,29040.0,26430.0,20981.0,21740.0,25049.0,21494.0,11000.0,6400.0,3964.0,7348.0,10635.0,12560.0,7842.0,5269.0,8259.0,5339.0,1981.0,945.0,838.0,665.0,2475.33,573.86,721.32,2148.82,949.11,879.66,2224.8,869.48
Barbados,0.0,0.0,0.0,0.0,1.0,2.0,17.0,40.0,49.0,41.0,41.0,30.0,3.0,0.0,0.0,6.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,2.39,2.98,9.74,2.64,2.44,2.43,2.48,2.12
Belarus,,,,,,6.0,31.0,204.0,845.0,230.0,293.0,181.0,321.0,164.0,112.0,90.0,59.0,40.0,60.0,5.0,19.0,177.0,368.0,389.0,24.04,42.39,150.68,181.66,350.52,493.41,730.67,1080.69
Belgium,,,,,,,,,,,10859.0,4821.0,7766.0,7750.0,6049.0,5229.0,7002.0,8075.0,8167.0,7859.0,10082.0,15397.0,15050.0,13323.0,14334.18,14530.53,14385.3,14063.45,11181.57,12084.05,9572.45,8748.42
Belgium-Luxembourg,1397.0,1537.0,2047.0,3627.0,4636.0,3102.0,4093.0,3992.0,4938.0,5981.0,,,,,,,,,,,,,,,,,,,,,,
Belize,20.0,8.0,8.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,199.0,0.0,0.0,5.0,0.0,6.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,4.87,3.52,6.12,8.19
Benin,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,22.1,1.11,,2961.56,,,
Bhutan,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,,0.04,0.15,,0.05,0.05,0.34
Bolivia (Plurinational State of),,,,,,,,,,,1.38,1.0,0.0,0.0,5.0,23.0,14.0,7.0,8.0,7.0,11.0,15.0,12.0,5.0,5.19,8.66,6.16,7.18,12.66,1.05,0.03,0.23
Bosnia and Herzegovina,,,,,,,,,,,,,,4.0,1.0,6.0,10.0,9.0,2.0,4.0,8.0,1.0,1.0,1.0,0.31,0.57,0.63,0.62,0.51,1.32,9.61,1.97
Botswana,23.0,26.0,18.0,5.0,14.0,2.0,33.0,58.0,53.0,42.0,211.0,32.0,33.0,9.0,0.0,0.0,0.0,2.0,9.0,13.0,6.0,3.0,17.0,2.0,5.62,1.31,3.63,2.99,0.51,0.47,0.04,0.29
Brazil,7976.0,7347.0,8211.0,8335.0,8377.0,7252.0,3891.0,3404.0,3208.0,2914.0,3714.13,4082.0,3979.0,4209.0,3593.0,3407.0,3238.0,3298.0,3034.0,2326.0,2542.0,1965.0,1643.0,623.0,447.0,399.12,367.49,297.49,227.05,305.47,235.41,181.58
Brunei Darussalam,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,25.0,30.0,36.0,0.0,0.0,0.0,0.0,3.0,12.0,12.0,53.0,53.0,53.0,53.0,3.0,0.03,0.0,0.5,1.33,1.77,6.66,0.65,1.31
