headlines,description,content,url,category
"CUET PG 2024: Register with NTA to enable admission to PG courses, UGC tells universities",CUET PG 2024: UGC said that the list of participating institutions displayed on the NTA website is dynamic and will be updated to include the name of the new universities after they are registered.,"The Common University Entrance Test Postgraduate (CUET PG) registration is underway and the University Grants Commission (UGC), in a notification issued on January 25, has asked universities to register with the NTA to enable admissions to PG courses in the university.
Reiterating that the National Testing Agency (NTA) has been entrusted with the responsibility to conduct CUET PG as an entrance test for admission to central universities, the commission said that the list of participating institutions displayed on the NTA website is dynamic and will be updated to include the name of the new universities after they are registered.
“In case, you have not yet registered with NTA for enabling admissions to PG courses in your university in the year 2024, you may do so now,” the UGC said.
Read | CUET PG 2024: New test centres added at Gurugram, Srinagar
NTA will close the CUET PG 2024 application window on January 31. Candidates yet to register for CUET PG 2024 can apply online at the new website – pgcuet.samarth.ac.in.
“The list of participating institutions as displayed on NTA’s website is dynamic and will be updated to include the name of your university after you register with NTA, it added.
The commission has also shared help desk numbers to get queries and clarifications cleared. It is 011-40759000. The universities intending to participate in CUET PG can also email at cuet-pg@nta.ac.in to resolve queries.",https://indianexpress.com/article/education/cuet-pg-2024-register-with-nta-to-enable-admission-to-pg-courses-ugc-tells-universities-9129159/,education
Oxford ends ties with TCS iON over technical glitches,"On April 10, 2023 TCS had announced that it had been selected by Oxford University for the delivery of most of the university’s admissions tests from 2023 onwards.","Less than a year after the Oxford University signed a contract with the Tata Consultancy Services (TCS) iON to oversee the Oxford admissions test, the varsity has decided to terminate its deal with the company.
“Following the technical problems experienced by some candidates undertaking Oxford’s online admissions tests in 2023, as well as their schools, colleges and other test centres, we have undertaken a detailed review of the issues to understand better how and why these occurred and taken on board the expert and valuable feedback shared. Our Pro-Vice-Chancellor for Education, Professor Martin Williams has recently written to all test centres to communicate our decision to end our relationship with Tata Consultancy Services (TCS),” an official statement from the UK-based varsity stated.
The pro vice chancellor assured all affiliated schools and colleges that the varsity will do “utmost to streamline the process and ensure that the burden on teachers and exams officers is minimised as far as practically possible,” he said in a letter addressed to all affiliated teachers and exams officers.
Read | Indians in top colleges | ‘Oxford University is an experience of lifelong learning’
On April 10, 2023 TCS had announced that it had been selected by Oxford University for the delivery of most of the university’s admissions tests from 2023 onwards.
However, in October several candidates took to ‘X’ (formerly known as Twitter) to complain about technical glitches during their admission tests. Candidates reported frozen screens, server crashes and more.
We look forward to a written apology and statement about the progress of the tests today. Not only with technical errors, but also the error on the ELAT. Students have prepared for these for months, so rapid response is necessary to assure them they will not be disadvantaged. https://t.co/Afw2NRPlf0
— HSFC Reach & Early Apps (@HSFCEarlyApps) October 19, 2023
“How will the admissions process go ahead from this? I freezed after 20 minutes and was forced to stare at my screen for another 3 HOURS whilst other students froze 2 hours in but had another hour to CHECK their answers and DISCUSS answers with fellow students,” an X user, David John, posted.
“What is going to happen to those who did the elat when there was an error in the question leaving many students who didn’t know at a disadvantage,” another X user, Emma, posted.
Preparation is irrelevant if the paper won't launch or keeps freezing. And not even a working hotline number to call for assistance on the day! Very poor.
— SwimmingInAWineDarkSea (@SwimmingWine) October 19, 2023
ADVERTISEMENT
Following this, local media also reported that the Oxford University decided to not use results from its botched online admissions tests to award places on next year’s English courses.
Additionally, Balliol College of Oxford University also posted an official statement about the technical glitches faced by students, especially in ELAT, CAT and MAT tests.
“We understand the difficulty and disappointment some of our applicants will have experienced through technical problems with their online tests this year. Schools and test centres have been asked to let us know via the Special considerations form if something affected their student/s performance during their Oxford admissions test. Some tests were affected more than others, and we understand that applicants who took or were due to take the English Literature Admissions Test (ELAT) or the Classics Aptitude Test (CAT) should have received an official statement from the University relating to steps taken to ensure that no candidate is disadvantaged by the difficulties encountered,” the official statement read.
The university is now working on alternative options for 2024.
ADVERTISEMENT
Oxford’s admissions tests include CAT, HAT, ELAT, MAT, MLAT, PAT, AMELAT, and the Philosophy test. Additionally, a new Geography Admissions Test (GAT) was also introduced for 2023.",https://indianexpress.com/article/education/oxford-university-admission-deal-with-tcs-terminated-after-students-face-technical-glitch-in-online-test-9129032/,education
"Enrollments in Computer Engineering surge, mechanical sees a dip: AISHE Report","AISHE Report 2021-22: The enrollment in STEM (at UG, PG, MPhil and PhD levels) is 98,49,488, out of which 56,56,488 are men and 41,93,000 are women.","Student enrollments in Computer Engineering has gone up by nearly 38 per cent in the past three years as the number increased from 9.3 lakh in 2019-20 to 12 lakh in 2021-22, a recent government survey revealed.
According to the latest report of the All India Survey on Higher Education (AISHE), released by the Education Ministry Thursday night, the top five sub-streams of engineering and technology as per enrollment are Computer Engineering (CE), Electronics Engineering, Mechanical Engineering (ME), Civil Engineering and Electrical Engineering.
As per the data, among the top 5 substreams of engineering, it is only Computer Engineering (CE) and Electrical Engineering (EE) that saw an increase in enrollments (38.82 per cent and 1.44 per cent respectively).
Also read | As Centre pushes Indian languages in schools, stakeholders say ‘soon, but not now’
AISHE Report 2021-22: Students enrolled in Engineering sub-stream in 2019-20 and 2021-22.
Other than that, other sub-streams such as ME, Electronics Engineering and Civil Engineering saw a dip of 15.45  per cent, 0.81 per cent and 3.31 per cent, respectively.
In the engineering domain in 2021-22, with the highest number of enrollments was CE with 12.9 lakh enrollments, followed by Electronics Engineering with 6 lakh enrollments, Mechanical Engineering with 5.74 lakh enrollments, Civil Engineering with 4.64 lakh enrollments and Electrical Engineering is the fifth most popular sub-stream with 3.75 lakh enrollments.
Last year too, the highest enrollments were in Computer engineering. However, this time it is Mechanical Engineering, Electronics engineering, Civil engineering, Electrical engineering etc.
AISHE Report 2021-22 | More women enrolled in higher studies than men in 8 years
Also, this time, for Engineering and Technology, overall enrolment in all UG, PG, MPhil and PhD levels is 41,31,303, which is a rise of nearly 5 per cent from last year’s 39,20,213.
ADVERTISEMENT
Additionally, in the Science stream, a total of 57,18,185 students are enrolled in Science at UG, PG, MPhil, PhD levels with 52.1 per cent female. At UG level, the enrollment is 49,18,425 with 50.8 per cent female. There are 7,52,807 students enrolled at PG level, with 61.2 per cent females. At PhD level, enrollment in Science is 45,324 students with more than 50 per cent female students.
The enrollment in STEM (at UG, PG, MPhil and PhD levels) is 98,49,488, out of which 56,56,488 are men and 41,93,000 are women, the recent government survey revealed. Last year, there were 94,69,022 enrollments in STEM, out of which 53,74,237 (56.8 per cent) were males and 40,94,785 (43.2 per cent) female.",https://indianexpress.com/article/education/enrollments-in-computer-engineering-surge-mechanical-sees-a-dip-aishe-report-9128852/,education
"NDMC plans to provide free JEE, NEET UG coaching to selected students","The coaching partner will also provide up-to-date study/test materials, doubt-clearing session, All-India level tests paper, and also access to online study material and recorded topic-wise lectures and videos.","The New Delhi Municipal Council (NDMC) is inviting quotation bids from reputed coaching centres to provide JEE Main, JEE Advanced and NEET preparatory coaching to meritorious students of NDMC schools. The council’s plan is to impart two years of integrated coaching to students of NDMC or Navyug Schools.
Students of Class 11 will be enrolled in these coaching classes. As of now, NDMC has decided to provide coaching to 100 meritorious students. In these coaching classes, around 50 students will be enrolled for JEE Main coaching and 50 for NEET UG classes respectively each year. This implies that in the first year (2024), around 100 students of Class 12 will be enrolled for two years (2024-25 and 2025-26) integrated course. The number will increase to around 200 (100 starting in 2024-25 and 100 starting in 2025-26 and so on) for subsequent years, 2025-26 onwards.
This coaching will be provided in offline/ physical mode. The selected students will be made a part of the existing coaching classes, as no separate group will be formed solely for the students of NDMC school. “No distinction at all of any nature will be made by the coaching partner between the students enrolled with the coaching partner under this scheme and other students which the Institute will enroll from open market,” the official notice stated.
Read | JEE Main 2024 Exam Live Updates
The coaching partner who wins the bid will have to conduct a screening test of Class 11 and 12 students for short listing around 50 meritorious students each for NEET and JEE. Also, the coaching partner will be tasked with guiding the selected students for applying to various courses.
Additionally, the coaching partner will also provide up-to-date study/test materials, doubt-clearing session, all-India level tests paper. The students will be provided physical study material and test questions. Students will also be provided access of online study material, recorded topic-wise lectures and videos, topic based online quizzes and tests and also have online mock tests with complete syllabus with result analysis.
JEE Main 2024 | What to do if your barcode is missing from admit cards?
The empanelled coaching partner will also provide psychology sessions through reputed psychologists for students to cope with the stress and other issue.",https://indianexpress.com/article/education/ndmc-jee-main-advanced-2024-neet-ug-free-coaching-delhi-9128800/,education
"BA courses register highest enrollment, maximum PG students in social science streams: AISHE report","AISHE Report 2021-22: For programmes including BA, BSc, BCom and MBBS, the female out-turn is more than the male out turn.","Bachelor of Arts (BA) courses had the highest enrollment in the country at 1.13 crore students, followed by Bachelor of Science (BSc) courses at 49.66 lakh students, according to the government’s All India Survey for Higher Education (AISHE) 2021-22.
The survey report released by the Ministry of Education on late evening of Thursday showed that of the 1.13 crore students enrolled in Bachelor of Arts (BA), 51 per cent are women students and 49 per cent are men.
In Science discipline too, while the overall registration is 49.18 lakh students, of them women dominate with 50.8 per cent and 49.2 per cent are men. However, when it comes to commerce, men takes the lead with 52.8 per cent and women are at 47.2 per cent. A total of 44.08 lakh students enrolled in the commerce discipline. 
Read | Enrollments in Computer Engineering surge, mechanical sees a dip: AISHE Report
The gap is highest in the engineering and technology domain where as many as 39.04 lakh students are enrolled of them only 29.1 per cent are women students and 70.9 per cent are men.
Most passouts from BA, followed by BSc, BCom
At the UG level, BA degree has been awarded to 24.16 lakh (22.5% of the total out-turn) students which is the highest among all programmes, the report added.
Among the BA passed-out students, 54.03 per cent are females. BSc has the second highest number of passed outs with 12.53 lakh students (11.7% of total out-turn). 54.07% of BSc passed students are female.
BCom has 11.08 lakh out-turn (10.3% of the total out-turn). Among them 50.48 per cent of the BCom graduates are female students. 
ADVERTISEMENT
Interestingly, 54,547 students have been awarded with MBBS degree, of which 28,073 (51.47%) are women students. 
For programmes including BA, BSc, BCom and MBBS, female out-turn is more than the male out turn. Women also make up 55 per cent of the total increase in overall enrollment (91 lakh) in higher education since 2014-15.
Read | More women enrolled in higher studies than men in 8 years: AISHE report
At the UG level (in regular mode), female participation is high for programmes like BA-Bachelor of Arts (female to male ratio: 113), BSc (female to male ratio: 108), B.A.(Hons)-Bachelor of Arts (Honors) (female to male ratio: 124), B.Ed.-Bachelor of Education (female to male ratio: 176)
ADVERTISEMENT
Social science most opted at PG level, engineering and tech at PhD
At the PG level, the maximum number of students are enrolled in social science stream with 10.8 lakh followed by science and management with 7.5 lakh and 7.3 lakh, respectively. Of the total students in social science, 56.6 per cent are female and 43.4 per cent are male students.
At the PG level too, the number of MA graduates is maximum (7.02 lakh) followed by MSc (3.56 lakh) and MBA (2.32 lakh). 
The total enrolment for PhD programme is 2,12,474. At the PhD level, around 24.8 per cent enrolment (52,748 students) is in engineering and technology and 21.3 per cent of enrolment (45,324 students) is in science. Social science, medical science and management are some other major disciplines which students opt to pursue for PhD level academic programmes. 
For engineering and technology, overall enrolment in UG, PG, MPhil and PhD levels is 41,31,303. Of these, the highest enrolment is in computer engineering (12,91,103) followed by electronics and mechanical engineering at 605023 and 574940 students respectively.
The Ministry of Education has been conducting the All India Survey on Higher Education (AISHE) since 2011. It covers all higher educational institutions located in the country imparting higher education. The survey collects detailed information on different parameters including student enrolment and teachers’ data.",https://indianexpress.com/article/education/ba-courses-registers-highest-enrollment-maximum-pg-students-in-social-science-streams-aishe-report-9128626/,education
JEE Main 2024: What to do if your barcode is missing from admit cards?,JEE Main 2024: One thing that candidates should keep in mind while checking their admit cards is that the barcode is available on the admit card while downloading. ,"JEE Main 2024: The National Testing Agency has released the admit cards for all exam days of the Joint Entrance Examination (JEE) Main 2024 session 1, paper 1 exam. The hall tickets have been released at the official website — jeemain.nta.ac.in.
To download their admit cards, candidates will have to key in their application number, date of birth, course and security pin.
Barcode on admit cards
One thing that candidates should keep in mind while checking their admit cards is that the barcode is available on the admit card while downloading.
Read | JEE Main 2024 Exam Live Updates
If the barcode is missing from the admit cards, candidates should immediately contact NTA through phone helpline, i.e., 011-40759000, 011 69227700 or e-mail at jeemain@nta.ac.in. 
In case candidates miss checking the barcode, and it is missing, candidates will not be allowed to enter the exam hall.
Candidates should also remember that the city of the allotted examination centre cannot be changed, in any case. The choice of exam cities displayed to the candidates is based on the permanent and correspondence addresses filled during the online application form of JEE Main 2024.
JEE Main 2024 | How toppers spent last day before the exam?
JEE Main 2024: Things to carry to the exam hall
Students should carry their admit cards to the exam hall, as they will be denied entry without the hall ticket. The admit card should have a passport-size photograph affixed on it. In addition to this, candidates should also carry one passport-size photograph (to be affixed on the attendance sheet on the day of the examination).
ADVERTISEMENT
Candidates are advised not to take any other items to the examination centers. There will be no arrangement for the safe keeping of any material at the centre. Neither NTA nor centre will be responsible for any loss, delay, etc, NTA said in an official notice.",https://indianexpress.com/article/education/jee-main-2024-what-to-do-if-your-barcode-is-missing-from-admit-cards-9128711/,education
"TS EAPCET, ECET, and other TSCHE exam dates out; registration soon",TSCHE Telangana PG Law Common Entrance Test (PGLCET) will be held from June 6 to 8,"The Telangana State Council of Higher Education (TSCHE) on Thursday released the exam schedule for various entrance tests including TS EAMCET or the Telangana Eapcet (Engineering Agricultural and Pharmacy Common Entrance Test). Eapcet will be conducted between May 9 and May 11.
The exam for Agriculture and Pharmacy courses will be held on May 12 and May 13 respectively, TSCHE secetary, N Srinivasa Rao said in a statement.
Here is the complete schedule:
TSCHE PG Law Common Entrance Test (PGLCET):  June 6 to 8
TS ICET (Integrated Common Entrance Test): June 4 and June 5
TS ECET (Engineering) exam: May 6.
TS EdCET: May 23
TS LAWCET: June 3
TS PGLCET: June 3
TS PGECET: June 6 to June 8
TS PECET: June 10 to June 13
The registration dates for each exam is not out yet and is expected to release in February.",https://indianexpress.com/article/education/ts-eamcet-ecet-and-other-tsche-exam-dates-out-registration-soon-manabadi-9128714/,education
JEE Main 2024: NTA releases admit cards for all exam dates,JEE Main 2024: The admit cards for all exam dates have been released at the official website — jeemain.nta.ac.in,"JEE Main 2024: The National Testing Agency on January 26 released admit cards for all remaining exam days of the Joint Entrance Examination (JEE) Main 2024 session 1, paper 1 exam. The hall tickets have been released at the official website — jeemain.nta.ac.in.
Registered candidates can download the JEE Main admit cards 2024 by using their registration number and date of birth.
Read | JEE Main 2024 Exam Live Updates
JEE Main 2024 Admit Cards: How to download
Step 1: Visit the official website — jeemain.nta.ac.in
Step 2: Click on the JEE Main 2024 Session 1 tab given on the home page.
Step 3: On the admit card link, key in your details like application number and password.
Step 4: Submit and download the JEE Main 2024 admit card
Step 5: Take a printout of the JEE Main January 2024 exam hall ticket
JEE Main 2024 | What to do if your barcode is missing from admit cards?
The hall tickets for the January 27 exam were released in the late hours of January 24. Now, the NTA has released hall tickets for exams scheduled on January 29, 30, 31 and February 1, 2024.
ADVERTISEMENT
Aspirants should not forget to carry their admit cards to the exam hall, as they will be denied entry without the hall ticket. In addition to this, they will also have to carry a photo identity proof in original.
Meanwhile, the NTA conducted the paper 2 (BArch, BPlanning) exam on January 24 from 3 pm to 6 pm. In paper 2, Mathematics exam was rated easy to moderate. The Aptitude section of BArch exam was rated easy to moderate, and the Drawing section was reported as easy by students.",https://indianexpress.com/article/education/nta-jee-main-2024-admit-cards-released-jeemain-nta-ac-in-9128663/,education
"‘We will facilitate visa process, French classes in schools’: Emmanuel Macron","French President Emmanuel Macron further added that their country will facilitate the ""visa process for any former Indian student who studied in France."" ","French President Emmanuel Macron on January 26 announced that they target to welcome 30,000 Indian students in their country by 2030. Macron is on a two-day visit to India and is the chief guest at the Republic Day 2024.
“30,000 Indian students in France in 2030. It’s a very ambitious target, but I am determined to make it happen,” he announced on the social media platform ‘X’.
30,000 Indian students in France in 2030.
It’s a very ambitious target, but I am determined to make it happen.
Here’s how: pic.twitter.com/QDpOl4ujWb
— Emmanuel Macron (@EmmanuelMacron) January 26, 2024
He further said that the way to achieve this ambitious target is by launching a slew of initiatives. “French for All, French for a Better Future” to teach French in public schools. “We are developing the network of Alliances françaises, with new centers to learn French. We are creating international classes which will allow students, who do not necessarily speak French, to join our universities,” he tweeted.
He further added that France will facilitate the “visa process for any former Indian student who studied in France.”
“Coming to France means looking for excellence. We have now 35 universities in the QS ranking, and about 15 in the Times higher education ranking. India and France have so much to do together, now and in the future. We will achieve this with you, our young people, in exchange and cooperation, in trust, in friendship!” Macron tweeted.
This announcement was made last year by the Ambassador of France to India H.E Emmanuel Lenain. He told indianexpress.com that the number of students going to France has increased steadily by approximately 25 per cent each year after the Covid-19 restrictions were eased.",https://indianexpress.com/article/education/study-abroad/france-targets-to-welcome-30000-indian-students-by-2030-emmanuel-macron-republic-day-9128645/,education
"‘With flexibility, access to maths and science courses, engineering degree can be an excellent launchpad’","Although IITGN is a relatively young institution, we can offer a wide range of courses in numerous disciplines, allowing BTech students to take MSc/ PhD level courses in Mathematics and the Sciences (or Humanities and Social Sciences, for that matter).","— Chetan D. Pahlajani
It’s the Joint Entrance Examination (JEE) season, and so amidst the anxiety and anticipation capping years of hard work, you possibly find yourself wondering: “If I can make it to one of my preferred IITs, which BTech programme should I choose?” You look up the top choices: “Okay, Computer Science, then. But I think Mechanical or Electrical Engineering may be much broader. What about Chemical or Civil?” There’s input from friends and family, which might not all of is necessarily helpful. And then, perhaps, you love the sciences, but are ambivalent about engineering, and wonder: “Is engineering even the right choice for me? Perhaps I might be better off pursuing an Integrated MSc in the physical sciences.”
These are difficult questions with no easy answers, and so, when the time comes, one will have to make an important life decision with incomplete information. The good news is that very often, one’s academic and professional trajectory and eventual success may not depend so much on making the perfect choice, but simply on making a good enough choice. Part of the reason is that a good BTech programme at many of the IITs is a remarkably good springboard for a variety of career paths, as is evident from the biographies of numerous distinguished IIT alumni.
Also read | JEE Main 2024 exam analysis, important topics
However, I want to turn my attention to the last group of students mentioned above, passionate about science but unsure about engineering. I too once belonged to that group, and following conventional wisdom at the time, chose engineering (though not at an IIT). What followed were a few not-so-happy years, but I fortunately had the opportunity to take several advanced Mathematics courses, and secured admission to a PhD programme in Mathematics at the University of Illinois at Urbana-Champaign. I wrote my doctoral thesis in Probability Theory guided by an advisor who, interestingly enough, had also started as a student in Electrical Engineering and then switched to a PhD in Applied Mathematics. I got a postdoctoral position, worked in the US for a few years, joined IIT Gandhinagar (IITGN) in 2014, and lived happily ever after. More or less…
Anyway, back to you and your predicament. Well, one thing I have learned over the years is just how versatile an engineering degree can be, provided one can also take courses in one’s area of interest, whatever that may be. This brings me back to the IITs, specifically IITGN, since it is the only IIT where I have worked. Two big strengths of the BTech programme at IITGN are equipping engineering students with a solid foundation in the basic sciences, and providing students the chance to explore numerous courses outside their major. With Mathematics, all students are required to take a few core courses: single and multivariable calculus, ordinary differential equations, linear algebra, and numerical analysis. Additionally, each engineering department may require their students to take specific courses.
Although IITGN is a relatively young institution, we can offer a wide range of courses in numerous disciplines, allowing BTech students to take MSc/ PhD level courses in Mathematics and the Sciences (or Humanities and Social Sciences, for that matter). Further, students who have completed at least four semesters with satisfactory academic performance can also apply for a joint BTech/MSc dual degree, where the additional MSc degree can be completed in a reasonable amount of time. We recently had a BTech student from Mechanical Engineering take this route, also completing an MSc in Mathematics in the process. He is currently pursuing a PhD in Mathematics at Ohio State University.
The take-home message here is that with a bit of flexibility and access to Mathematics and Science courses, an Engineering degree can be an excellent launchpad for pursuing higher education and a career in these fields. Besides academics, Mathematics PhDs have found careers in Quantitative Finance, and more recently, in Data Science. And so, if you think your dream is to study the Navier-Stokes equations or Algebraic Geometry or Particle Physics or Neuroscience — but you’re not yet sure — a good BTech programme might not be a bad place to start.
ADVERTISEMENT
(The writer is an associate professor of Mathematics at IIT Gandhinagar)
(A Lesson from IIT is a weekly column by an IIT faculty member on learning, science and technology on campus and beyond. The column appears every Friday)",https://indianexpress.com/article/education/a-lesson-from-iit-a-btech-at-iit-on-the-way-to-a-career-in-mathematics-and-sciences-jee-main-2024-9122028/,education
