Size (cm),Weight (g),Brix (Sweetness),pH (Acidity),Softness (1-5),HarvestTime (days),Ripeness (1-5),Quality (1-5),Color_Light Orange,Color_Orange,Color_Orange-Red,Color_Yellow-Orange,Variety_Blood Orange,Variety_California Valencia,Variety_Cara Cara,Variety_Clementine,Variety_Clementine (Seedless),Variety_Hamlin,Variety_Honey Tangerine,Variety_Jaffa,Variety_Midsweet (Hybrid),Variety_Minneola (Hybrid),Variety_Moro (Blood),Variety_Murcott (Hybrid),Variety_Navel,Variety_Navel (Early Season),Variety_Navel (Late Season),Variety_Ortanique (Hybrid),Variety_Satsuma Mandarin,Variety_Star Ruby,Variety_Tangelo (Hybrid),Variety_Tangerine,Variety_Temple,Variety_Valencia,Variety_Washington Navel,Blemishes (Y/N)_N (Minor),Blemishes (Y/N)_N (Split Skin),Blemishes (Y/N)_Y (Bruise),Blemishes (Y/N)_Y (Bruising),Blemishes (Y/N)_Y (Minor Insect Damage),Blemishes (Y/N)_Y (Minor),Blemishes (Y/N)_Y (Mold Spot),Blemishes (Y/N)_Y (Scars),Blemishes (Y/N)_Y (Split Skin),Blemishes (Y/N)_Y (Sunburn Patch),Blemishes (Y/N)_Y (Sunburn)
7.5,180,12.0,3.2,2.0,10,4.0,4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8.2,220,10.5,3.4,3.0,14,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.8,150,14.0,3.0,1.0,7,5.0,5.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.0,250,8.5,3.8,4.0,21,3.5,3.5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.5,210,11.5,3.3,2.5,12,5.0,4.5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6.7,126,9.1,3.0,2.0,25,2.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.2,160,9.0,3.5,3.5,9,4.0,4.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.5,130,13.5,2.8,1.5,5,4.5,4.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.8,240,7.5,4.0,5.0,18,3.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7.8,190,12.0,3.1,2.0,11,4.5,5.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.5,270,6.0,4.2,4.5,24,2.5,2.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7.8,183,14.8,3.7,2.0,12,3.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
8.0,200,10.0,3.5,3.0,13,4.0,4.5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.0,140,11.0,3.2,2.5,8,4.5,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9.2,260,9.5,3.7,4.5,20,4.0,4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.3,120,14.5,2.9,1.0,6,5.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.7,230,8.0,3.9,3.5,17,3.5,3.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9.6,218,14.1,4.2,4.0,11,1.0,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
