index,Rank,Name,Age,Country/Territory,Category,Designation
0,1,Angela Merkel,66,Germany,Politics & Policy,"Chancellor, Germany"
1,2,Christine Lagarde,65,France,Politics & Policy,"President, European Central Bank"
2,3,Kamala Harris,56,United States,Politics & Policy,"Vice President-elect, United States"
3,4,Ursula von der Leyen,62,Germany,Politics & Policy,"President, European Commission, European Union"
4,5,Melinda Gates,56,United States,Philanthropy,"Co-Chair, Bill & Melinda Gates Foundation"
5,6,Mary Barra,59,United States,Business,"CEO, General Motors"
6,7,Nancy Pelosi,80,United States,Politics & Policy,"Speaker, House of Representatives, United States"
7,8,Ana Patricia Botín,60,Spain,Finance,"Executive Chairman, Santander"
8,9,Abigail Johnson,59,United States,Finance,"CEO, Fidelity Investments"
9,10,Gail Boudreaux,60,United States,Business,"President and CEO, Anthem"
10,11,Carol Tomé,64,United States,Business,"CEO, United Parcel Service"
11,12,Emma Walmsley,52,United Kingdom,Business,"CEO, GlaxoSmithKline"
12,13,Susan Wojcicki,52,United States,Technology,"CEO, YouTube"
13,14,Julie Sweet,53,United States,Business,"CEO, Accenture"
14,15,Safra Catz,59,United States,Technology,"CEO, Oracle"
15,16,Ruth Porat,63,United States,Technology,"Senior Vice President and CFO, Google"
16,17,Judith McKenna,55,United Kingdom,Business,"President, CEO Walmart International, Walmart"
17,18,Kristalina Georgieva,67,Bulgaria,Politics & Policy,"Managing Director, International Monetary Fund"
18,19,Martina Merz,58,Germany,Business,"CEO, ThyssenKrupp Group"
19,20,Oprah Winfrey,67,United States,Media & Entertainment,"Entrepreneur, Personality, Philanthropist"
20,21,Jessica Tan,44,China,Finance,"co-CEO, COO, CIO, Ping An Healthcare and Technology Company"
21,22,Sheryl Sandberg,51,United States,Technology,"COO, Facebook"
22,23,Jane Fraser,54,United States,Finance,"President, Citigroup"
23,24,Shari Redstone,66,United States,Media & Entertainment,"Chairwoman, ViacomCBS"
24,25,Nicke Widyawati,53,Indonesia,Business,"CEO, Pertamina"
25,26,Amanda Blanc,54,United Kingdom,Business,"CEO, Aviva"
26,27,Phebe Novakovic,62,United States,Business,"CEO, General Dynamics"
27,28,Amy Hood,49,United States,Technology,"Executive Vice President and CFO, Microsoft"
28,29,Shemara Wikramanayake,59,Australia,Business,"CEO & Managing Director, Macquarie Group"
29,30,Ho Ching,68,Singapore,Finance,"Executive Director and CEO, Temasek"
30,31,Jessica Uhl,53,United States,Business,"CFO, Royal Dutch Shell"
31,32,Jacinda Ardern,40,New Zealand,Politics & Policy,"Prime Minister, New Zealand"
32,33,Adena Friedman,51,United States,Finance,"President and CEO, NASDAQ"
33,34,Joey Wat,50,China,Business,"CEO, Yum China Holdings"
34,35,Stacey Cunningham,46,United States,Finance,"President, NYSE Group"
35,36,Anne Finucane,68,United States,Finance,"Vice Chairman, Bank of America"
36,37,Tsai Ing-wen,64,Taiwan,Politics & Policy,"President, Taiwan"
37,38,Karen Lynch,58,United States,Business,"EVP, CVS Health"
38,39,Sheikh Hasina Wajed,73,Bangladesh,Politics & Policy,"Prime Minister, Bangladesh"
39,40,Mary Callahan Erdoes,53,United States,Finance,"CEO, Asset & Wealth Management, JPMorgan Chase"
40,41,Nirmala Sitharaman,62,India,Politics & Policy,"Minister of Finance and Corporate Affairs, India"
41,42,Laurene Powell Jobs,57,United States,Philanthropy,"Founder and President, Emerson Collective"
42,43,Marianne Lake,52,United Kingdom,Finance,"CEO of Consumer Lending, JPMorgan Chase"
43,44,Kathy Warden,-,United States,Business,"CEO, President and Chairman, Northrop Grumman"
44,45,Gina Rinehart,67,Australia,Business,"Executive Chairman, Hancock Prospecting"
45,46,Queen Elizabeth II,94,United Kingdom,Politics & Policy,"Monarch, United Kingdom"
46,47,Mingzhu Dong,67,China,Business,"Chairperson and President, Gree Electric Appliances"
47,48,Rosalind Brewer,58,United States,Business,"COO, Starbucks"
48,49,Gwynne Shotwell,57,United States,Technology,"President and COO, SpaceX"
49,50,Vicki Hollub,61,United States,Business,"CEO and President, Occidental Petroleum"
50,51,Dana Walden,56,United States,Media & Entertainment,"Chairman, Disney Television Studios and ABC Entertainment, Walt Disney"
51,52,Erna Solberg,60,Norway,Politics & Policy,"Prime Minister, Norway"
52,53,Donna Langley,53,United Kingdom,Media & Entertainment,"Chairman, Universal Pictures, Comcast"
53,54,Jennifer Salke,-,United States,Media & Entertainment,"Head of Amazon Studios, Amazon"
54,55,Roshni Nadar Malhotra,39,India,Technology,"CEO and Executive Director, HCL Enterprise"
55,56,Simonetta Sommaruga,60,Switzerland,Politics & Policy,"President, Switzerland"
56,57,Elvira Nabiullina,57,Russia,Politics & Policy,"Governor, Central Bank of Russia"
57,58,Tricia Griffith,56,United States,Business,"President and CEO, Progressive Insurance Company Ltd."
58,59,Nicola Sturgeon,50,United Kingdom,Politics & Policy,"First Minister of Scotland, United Kingdom"
59,60,Maggie Wei Wu,52,China,Business,"CFO and Head of Strategic Investments, Alibaba Group"
60,61,Lynn Good,-,United States,Business,"Chairman, President and CEO, Duke Energy"
61,62,Kelly Zhang,-,China,Business,"CEO, ByteDance"
