Country of Nationality,2014 Delhi (Airport), 2014 Mumbai (Airport), 2014 Chennai (Airport),2014 Calicut (Airport),2014 Benguluru (Airport),2014 Kolkata (Airport),2014 Hyderabad (Airport),2014 Cochin (Airport) ,2015 Delhi (Airport), 2015 Mumbai (Airport), 2015 Chennai (Airport),2015 Calicut (Airport),2015 Benguluru (Airport),2015 Kolkata (Airport),2015 Hyderabad (Airport),2015 Cochin (Airport),2016 Delhi (Airport), 2016 Mumbai (Airport), 2016 Chennai (Airport),2016 Calicut (Airport),2016 Benguluru (Airport),2016 Kolkata (Airport),2016 Hyderabad (Airport),2016 Cochin (Airport),2017 Delhi (Airport), 2017 Mumbai (Airport), 2017 Chennai (Airport),2017 Calicut (Airport),2017 Benguluru (Airport),2017 Kolkata (Airport),2017 Hyderabad (Airport),2017 Cochin (Airport),2018 Delhi (Airport), 2018 Mumbai (Airport), 2018 Chennai (Airport),2018 Calicut (Airport),2018 Benguluru (Airport),2018 Kolkata (Airport),2018 Hyderabad (Airport),2018 Cochin (Airport),2019 Delhi (Airport), 2019 Mumbai (Airport), 2019 Chennai (Airport),2019 Calicut (Airport),2019 Benguluru (Airport),2019 Kolkata (Airport),2019 Hyderabad (Airport),2019 Cochin (Airport),2020 Delhi (Airport), 2020 Mumbai (Airport), 2020 Chennai (Airport),2020 Calicut (Airport),2020 Benguluru (Airport),2020 Kolkata (Airport),2020 Hyderabad (Airport),2020 Cochin (Airport)
Canada,21.1,1.3,6,53.5,4.4,2.8,10.9,0,19.7,1.5,6,54.5,4.6,3.1,10.6,0,57.l,18.1,5.7,0,4.3,1.6,2.9,2.5,56.7,19.5,5.4,0,4.3,2.7,2.6,2.1,55.2,20.8,5.1,0,5.1,1.5,2.9,3,63.8,15.1,4,0.3,4.6,0.9,3.3,2.8,71.7,10.5,2.6,0.2,3.9,0.5,2.6,2.5
United States Of America,25.8,2,8.3,31.1,10.2,8.9,13.7,0,23.9,2.3,8.1,31.1,10.5,9.5,14.6,0,30.9,22.7,8.4,0,10.3,2.3,9.6,4.5,31,23.1,8.1,0,10.2,9.4,4.4,2.5,31.1,23.1,8.4,0,10.5,2.3,9.6,4.5,27.6,23.4,10.5,0.2,12,2.7,13.7,2.6,40.1,22.3,7.1,0.1,8.7,1.9,11.7,2
Argentina,18.7,3,4.1,57.1,5.7,1.5,9.9,0,17.3,4.6,4.5,56.7,7.5,1.1,8.3,0,64.3,11.8,4.1,0,9.1,3.7,1.1,1.4,68,10.3,3.9,0,5.7,3.1,1,1.3,71.1,9.9,3.5,0,5,1.8,0.8,2.1,31.8,39.9,5.7,0.1,10.9,3.8,3.5,1.1,30.4,34.7,6.4,0,11.5,2,3.7,5.3
Brazil,22,2.6,5.6,49,10.1,2.8,7.9,0,20.6,3.1,6.5,48.1,10.1,2.6,9,0,50.8,17.9,6.7,0.1,9.1,2.9,2.9,2,51.7,18.6,6.8,0,8.2,2.9,2.8,10.1,53.5,17.9,6,0,8.4,2.1,3.1,2.4,26.6,38.3,7.7,0.3,8.9,2.4,6.2,3.3,32.8,46.1,4.4,0.1,4.5,0.6,3.1,2.6
Mexico,14.7,2.1,6.1,62.8,5.7,1.9,6.7,0,15.8,2.1,6.2,59.1,6.2,2.6,8,0,59.5,14.2,6,0,6.3,2.3,2,1.5,65.3,12.1,4.8,0,5.3,2.2,2,2.1,61.8,12.8,4.6,0,9.2,2.1,1.9,2.2,36.1,37.3,8,0.1,13.4,1.2,1.6,1.1,36.8,36.3,7.2,0.1,12.1,1.5,2.8,0.5
Austria,14.6,1.7,6.2,54.7,6.3,1,15.5,0,14.8,2,4.9,54,6.5,1.2,16.6,0,47.2,15.3,5.4,0.1,7,2.1,1.1,9.5,45,16.2,4.9,0,7.5,2,1.5,2.5,49.4,15.6,4.7,0,6.6,2,1.7,9,57.7,20.7,3.5,0.5,5.4,3,1.6,2.3,63.4,11.7,3.2,0.9,6.2,1.9,2.4,3.9
Belgium,35.1,1.3,7.1,42.9,5,1.5,7.1,0,34.7,1.3,7.2,40.7,5.7,1.7,8.7,0,39,32.6,8.4,0,6.6,1.6,2,2.1,36.8,37.6,6.8,0,6.2,1.3,1.8,1.5,38.2,38.3,6.5,0,6.4,1.2,1.7,1.8,25.7,43.1,7.5,0.2,9.8,2.4,5.3,2.1,34.5,39,5.7,0.25,10.1,1.8,3.7,2.9
Denmark,22.3,1.8,10.9,37.6,10,1.5,15.9,0,23.1,2.1,11.3,36,11.2,1.5,14.8,0,35.9,22.5,11.3,0,10.7,2.1,1.6,3,41.5,18.7,9.9,0,11,2,1.8,2.9,45.7,14.9,9.1,0,10.4,1.9,1.4,2.3,54.2,16.8,8.5,0.2,10.3,2.5,2.2,1.7,49.8,20.1,8.3,0.1,13.3,2.1,2.5,1.2
Finland,15.5,1,5,56.9,5.3,0.8,15.5,0,14.1,1,3.9,59.2,4.7,1,16.1,0,58.5,13.5,4.4,0.1,4,0.7,I.I,1.8,55.5,9.2,4.3,0,4.1,0.8,1.2,3.2,57.3,7.7,3.4,0,3.7,0.8,1.1,1.8,58.7,17.6,7.1,0.2,8.3,2.1,2.5,1.2,61.4,19.4,5.3,0.4,7.5,1.5,2.7,0.8
France,19.6,1.2,20.2,42.9,8.9,0.9,6.3,0,21.6,1.3,19.3,40.4,10,0.9,6.5,0,39.2,21.8,19.9,0,9.9,1.2,1,2.5,38.6,21.5,19.8,0,10.3,1.1,1.2,8.1,39,18.4,22.2,0,10.2,1.2,1.2,2.6,38.5,24.9,10.6,0.2,12.4,3.4,3.3,2.4,45.9,20.8,9.4,0.2,14.2,1.5,2.6,1.7
