Country,Location,YearFrom,YearTo,X,Y,Distance,Turn
Qatar,Lusail,2021,2023,-2482,3606,495.68752,T1
Qatar,Lusail,2021,2023,245,2922,810.6366667,T2
Qatar,Lusail,2021,2023,2954,7817,1402.717098,T3
Qatar,Lusail,2021,2023,3353,7946,1446.583531,T4
Qatar,Lusail,2021,2023,4468,7005,1600.379687,T5
Qatar,Lusail,2021,2023,3047,4965,1860.892271,T6
Qatar,Lusail,2021,2023,6562,4392,2403.886944,T7
Qatar,Lusail,2021,2023,5910,3613,2506.553611,T8
Qatar,Lusail,2021,2023,5527,2678,2608.306281,T9
Qatar,Lusail,2021,2023,3379,1285,2886.855833,T10
Qatar,Lusail,2021,2023,4758,72,3079.673135,T11
Qatar,Lusail,2021,2023,5350,-77,3141.038284,T12
Qatar,Lusail,2021,2023,8477,122,3457.720312,T13
Qatar,Lusail,2021,2023,9784,-1344,3664.311111,T14
Qatar,Lusail,2021,2023,8577,-3315,3911.383343,T15
Qatar,Lusail,2021,2023,568,-2935,5150.55448,T16
