index,Year,Type of tree,Number of trees sold,Average Tree Price,Sales
0,2010,Real tree,27000000,36.12,975240000
1,2011,Real tree,30800000,34.87,1073996000
2,2012,Real tree,24500000,40.3,987350000
3,2013,Real tree,33020000,35.3,1165606000
4,2014,Real tree,26300000,39.5,1038850000
5,2015,Real tree,25900000,50.82,1316238000
6,2016,Real tree,27400000,74.7,2046780000
7,2010,Fake tree,8200000,64.61,529802000
8,2011,Fake tree,9500000,70.55,670225000
9,2012,Fake tree,10900000,72.5,790250000
10,2013,Fake tree,14700000,81.3,1195110000
11,2014,Fake tree,13900000,63.6,884040000
12,2015,Fake tree,12500000,69.38,867250000
13,2016,Fake tree,18600000,98.7,1835820000
