index,label,review
0,pos,I loved this movie and will watch it again. Original twist to Plot of Man vs Man vs Self. I think this is Kurt Russell's best movie. His eyes conveyed more than most actors words. Perhaps there's hope for Mankind in spite of Government Intervention?
1,pos,"I was not expecting the powerful filmmaking experience of ""Girlfight"". It's an Indie; low-budget, no big-name actors, freshman director. I had heard it was good, but not this good.<br /><br />Placed in a contemporary, ethnic, working-class Brooklyn, Karyn Kusama has done an extraordinary job of capturing the day-do-day struggles of urban Latinos. Diana, the protagonist, is seething with anger and lashes out at her high school peers, getting in trouble with the school and her friends. She is being raised by her single father, who appears to love her and her brother, but applies a strict, sex-based double standard on his children. The father's double standard is illustrated by the fact that Tiny, the brother, is taking boxing lessons at the local gym, but Diana is denied similar pursuits. On an errand to the gym to meet Tiny, Diana is captivated by boxing. Tiny doesn't like boxing, so he and Diana trade places; he gets the money from Dad then gives it to Diana to take the lessons in his place.<br /><br />This is actually a feel-good movie, as Diana grows and learns about herself through boxing, meets a guy, and addresses some very serious issues head-on. There's no giggly, 'everything that can go right does go right' resolution a la ""Bend It Like Beckham"". The reality and attendant personal issues are too big for pat resolutions, but in my opinion, ""Girlfight"" is a better and more satisfying film for it."
2,neg,"This so-called ""documentary"" tries to tell that USA faked the moon-landing. Year right.<br /><br />All those who have actually studied the case knows different.<br /><br />First of all: there is definitely proof. When the astronauts was on the moon, they brought back MANY pounds of rock from the moon - for geological studies. These where spread around the world to hundreds of labs, who tested them. And they all concluded that they came from the same planet, not earth: because the inner isotopes of the basic elements are different from those found on earth, but similar to those calculated to be on the moon. I.E. the conspiracy theorists never studies anything: they only take the thing that fit into their theory and ignores the rest.<br /><br />Another wrongful claim from them is that their was wind in the hangar where they shot the moon landing, I.E. the flag moves. There is a logical explanation: the astronaut moved it with his hand, so it moved. And what proves this: well, if the conspiracy theorists even studied the footage, they would see that the flag NEVER moves after the astronaut have let it be, I.E. the conspiracy theorists are bad-scientists, they cant study a subject properly, or only studies it until they have what they came for, so that they can make a lie from that, and make a profit (I.E. this so-called ""documentary"").<br /><br />A claim says that it cant possible have been filmed on the moon because all the shadows come from different places, because there are different light-sources, the artificial lighting from the studio. Once again the conspiracy theorists are wrong (as usual), the same would happen in an earth desert at night, with no light-sources. But i doubt that any Conspiracy theorists have ever been outside their grandmothers basement for more than how many days a Star Treck-convention is held over.<br /><br />The Conspiracy theorists are in denial, BIG TIME. They only see what they want to see. So they make up all these lies to seem important - that is a fact."
3,neg,This is without a doubt the worst movie I have ever seen. It is not funny. It is not interesting and should not have been made.
4,pos,"At least something good came out of Damon Runyon's misguided attempt to sentimentalize the Mafia. ""Guys and Dolls,"" the seemingly indestructible stage musical, was captured on film in 1955 by Joseph L. Mankiewicz (""All About Eve"") in a colorful, enjoyable movie that featured an all-star cast including Vivian Blaine (from the original Broadway show), Jean Simmons (whose character bears an odd resemblance to Audrey Hepburn in ""Roman Holiday"") and two of the all-time great leading men, Frank Sinatra and Marlon Brando, both of whom had recently won Oscars for Best Supporting Actor (""From Here To Eternity"") and Best Actor (""On the Waterfront"") and were on the top of their game. One listen to Brando singing ""Luck Be a Lady Tonight"" speaks volumes about where the early Dylan got his voice. Stubby Kaye steals the show as Nicely Nicely Johnson, who brings down the house with ""Sit Down You're Rocking The Boat."" The ubiquitous Sheldon Leonard adds yet another page to his rogue's gallery of screen gangsters. The film has a bright, cartoonish look, anticipating the Pop Art of the early 1960s. The characters speak in a stylized patois, apparently based on Yiddish idioms. Although the film's social attitudes and gender roles are dated, it's all great fun, and even the gentle kidding of the Salvation Army is harmless and reflects no real animosity toward organized religion. Just seeing Sinatra and Brando in the same film is reason enough to watch this movie, but it has lots of other attractions to offer during its 149 minutes."
5,pos,"The story of Cinderella is one of my favorites from Charles Perrault, with Sleeping Beauty which was also made into a Disney film in 1959; this film is a sweet, enchanting masterpiece from Disney.<br /><br />The film has a great soundtrack; that's one I like in a movie is a very good soundtrack, and I love the songs too; my favorite song is the romantic ""So This is Love."" I love the mice from the film too, they are cute. My favorite scene is the scene after the narration, the little birds tried to wake Cinderella up in the morning; I also love it when Cinderella's animal friends (the mice and birds) fix up Cinderella's birth-mother's dress, so she could go to the ball...until Drizella & Anastasia tore it to bits, the b****es!"
6,neg,"The special effects of this movie are, especially for its time, laughable and used in such an over-emphasized way that you can't deny their terrible existance.<br /><br />The acting redefines the term ""terrible overacting"" at the hands of Meg Foster and Richard Joseph Paul, where julie Newman and Andrew Divoff just redefine ""bad"".<br /><br />***spoilers***<br /><br />The charm in this movie can be found in two things: First is the excellent casting of Carel ""Lurch"" Struycken as the mysterious psychic Gaunt, who can sense where and when people will die and is always there.<br /><br />The second are original finds, the combination SF-Western is obviously original, if terrible, but other finds are more original, like the gunman Zack Stone being able to sense the pain of the people he shoots (though his acting falls short here).<br /><br />Overal...don't see this movie, except if you love that ol' hunk-o-brutal Carel Struycken, as any self-respecting Dutchman should."
7,pos,"This movie has several things going for it. It is a ""feel good"" story. The characters and actors are likable, realistic and present fine performances. Most important, I believe, is that Dennis Quaid knows how to grip and throw a baseball. Robert Redford looked good both throwing and swinging a bat in ""The Natural, and so did Kevin Costner in ""For Love of the Game"" and ""Bull Durham."" In ""Major League,"" Tom Berenger and Charlie Sheen looked like they knew what they were doing, but many of the others did not, and that picture was pure silliness - and not very funny. <br /><br />So many earlier baseball movies, even where the stories might be interesting, presented such a lack of baseball ability on the part of the leads, they were ludicrous in this respect. In ""The Stratton Story"" and ""Strategic Air Command,"" Jimmy Stewart looked about as believable as a professional baseball player, as your overweight, non-athletic, elderly uncle in the softball game at the family reunion. Other virile and physically robust stars (e.g., Gary Cooper as Lou Gehrig; Robald Reagan as Grover Cleveland Alexander; and Dan Dailey as Dizzy Dean) also exhibited a degree of baseball ability that would put them in the late rounds while ""choosing-up"" for a game at the Sunday picnic (even if coed, and even if your uncle were involved). <br /><br />The scenes of Quaid's high school team he coached, the ones where he attends his tryout with the Devil Rays, and those with him playing in two minor leagues and in the American League, all ring true. The participants are believable and capable. In addition, he is an engaging actor who always delivers a talented and appropriate characterization (except, to a degree, some of his ""over-the-top"" scenes, and his forced accent, in his portrayal of Jerry Lee Lewis). But he's definitely on-target here, and this movie is a ""9,"" as good, or better, as any others of this genre, except for ""The Natural."""
8,pos,"Renny Harlin's first American film was one of the best of a slew of prison-set horror films(like ""Death House"" or ""The Chair"")in the late 80's.Twenty years before,guard Lane Smith had wrongfully executed a condemned man.Now,he is the warden of the newly re-opened prison,and the man's ghost is back for bloody revenge.This atmospheric and very moody film features lots of gruesome gore and violence.Viggo Mortensen,Tiny Lister,Tom Everett and Kane Hodder are onhand for the entertaining carnage."
9,pos,"Does anyone know, where I can see or download the ""What I like about you"" season 4 episodes in the internet? Because I would die to see them and here in Germany there won't be shown on TV. Please help me. I wanna see the season 4 episodes badly. I already have seen episode 4 and episode 18 on YouTube. But I couldn't find more episodes of season 4. Is there maybe a website where I can see the episodes? Because I've read some comments in forums from Germany and there were people which had already seen the season 4 episodes even though they haven't been shown at TV in Germany. I am happy about every information I can get. Thanks Kate"
