index,Year,Ozone Hole Area (Million Square Km),Minimum Ozone (Dobson Units)
0,1979.0,0.1,225.0
1,1980.0,1.4,203.0
2,1981.0,0.6,209.5
3,1982.0,4.8,185.0
4,1983.0,7.9,172.9
5,1984.0,10.1,163.6
6,1985.0,14.2,146.5
7,1986.0,11.3,157.8
8,1987.0,,123.0
9,1988.0,10.0,171.0
10,1989.0,18.7,127.0
11,1990.0,19.2,124.2
12,1991.0,18.8,119.0
13,1992.0,22.3,114.3
14,1993.0,24.2,112.6
15,1994.0,23.6,92.3
16,1995.0,,
17,1996.0,22.8,108.8
18,1997.0,22.1,108.8
19,1998.0,25.9,98.8
20,1999.0,23.3,102.9
21,2000.0,24.8,98.7
22,2001.0,,100.9
23,2002.0,12.0,157.4
24,2003.0,25.8,108.7
25,2004.0,19.5,123.5
26,2005.0,24.4,113.8
27,,26.6,98.4
28,2007.0,22.0,116.2
29,2008.0,25.2,114.0
30,2009.0,22.0,107.9
31,2010.0,19.4,128.5
32,2011.0,24.7,106.5
33,2012.0,17.8,139.3
34,2013.0,21.0,
35,2014.0,20.9,128.6
36,2015.0,25.6,117.2
37,2016.0,20.7,123.2
38,2017.0,17.4,141.8
39,2018.0,22.9,111.8
40,2019.0,9.3,167.0
