Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
12,33,22,1,0,54.54,2,lbw,1,v Sri Lanka,Dambulla,
37,82,67,6,0,55.22,2,caught,2,v Sri Lanka,Dambulla,
25,40,38,4,0,65.78,1,run out,1,v Sri Lanka,Colombo (RPS),
54,87,66,7,0,81.81,1,bowled,1,v Sri Lanka,Colombo (RPS),
31,45,46,3,1,67.39,1,lbw,2,v Sri Lanka,Colombo (RPS),
2*,6,2,0,0,100,7,not out,1,v Sri Lanka,Colombo (RPS),
30,53,41,3,0,73.17,4,caught,2,v Australia,Vadodara,
10,32,16,1,0,62.5,3,caught,2,v Australia,Mohali,
27,20,19,4,0,142.1,7,bowled,1,v Sri Lanka,Rajkot,
54,93,65,7,0,83.07,4,lbw,1,v Sri Lanka,Nagpur,
107,-,114,11,1,93.85,4,caught,2,v Sri Lanka,Kolkata,
91,136,102,7,0,89.21,3,caught,2,v Bangladesh,Dhaka,
102*,128,95,11,0,107.36,3,not out,2,v Bangladesh,Dhaka,
31,-,46,1,0,67.39,5,caught,1,v South Africa,Jaipur,
57,-,71,4,1,80.28,3,caught,2,v South Africa,Ahmedabad,
0,3,0,0,0,-,3,run out,1,v Zimbabwe,Bulawayo,
18,28,29,1,0,62.06,3,caught,1,v Zimbabwe,Harare,
10,13,14,1,0,71.42,3,caught,1,v Sri Lanka,Dambulla,
28,57,34,4,0,82.35,3,caught,1,v Sri Lanka,Dambulla,
0,5,3,0,0,0,3,caught,2,v Sri Lanka,Dambulla,
37,98,57,5,0,64.91,3,caught,2,v Sri Lanka,Dambulla,
118,193,121,11,1,97.52,3,caught,2,v Australia,Visakhapatnam,
105,162,104,10,0,100.96,3,caught,1,v New Zealand,Guwahati,
64,78,73,8,0,87.67,3,caught,2,v New Zealand,Jaipur,
63*,83,70,6,2,90,3,not out,2,v New Zealand,Vadodara,
0,3,2,0,0,0,3,caught,2,v New Zealand,Bengaluru,
2,10,8,0,0,25,3,caught,2,v New Zealand,Chennai,
54,122,70,2,1,77.14,3,caught,2,v South Africa,Durban,
22,43,34,1,0,64.7,3,run out,1,v South Africa,Johannesburg,
28,51,41,5,0,68.29,3,caught,2,v South Africa,Cape Town,
87*,126,92,7,2,94.56,3,not out,2,v South Africa,Port Elizabeth,
2,11,6,0,0,33.33,3,caught,2,v South Africa,Centurion,
100*,113,83,8,2,120.48,4,not out,1,v Bangladesh,Dhaka,
34,82,53,3,0,64.15,4,run out,2,v Ireland,Bengaluru,
12,16,20,2,0,60,5,bowled,2,v Netherlands,Delhi,
1,2,3,0,0,33.33,7,caught,1,v South Africa,Nagpur,
59,128,76,5,0,77.63,3,bowled,1,v West Indies,Chennai,
24,38,33,1,0,72.72,4,caught,2,v Australia,Ahmedabad,
9,20,21,0,0,42.85,4,caught,1,v Pakistan,Mohali,
35,69,49,4,0,71.42,4,caught,2,v Sri Lanka,Mumbai,
2,5,8,0,0,25,3,caught,2,v West Indies,Port of Spain,
81,118,103,6,1,78.64,3,caught,2,v West Indies,Port of Spain,
0,1,1,0,0,0,3,lbw,2,v West Indies,North Sound,
22,68,33,1,0,66.66,3,stumped,2,v West Indies,North Sound,
94,135,104,10,0,90.38,3,run out,1,v West Indies,Kingston,
9,9,9,0,0,100,4,caught,1,v England,Southampton,
7,18,18,0,0,38.88,4,caught,1,v England,The Oval,
107,102,93,9,1,115.05,4,hit wicket,1,v England,Cardiff,
37,70,63,0,0,58.73,4,caught,1,v England,Hyderabad (Deccan),
112*,134,98,16,0,114.28,4,not out,2,v England,Delhi,
35,42,30,5,0,116.66,4,lbw,2,v England,Mohali,
86*,-,99,11,0,86.86,4,not out,2,v England,Mumbai,
0,5,5,0,0,0,3,bowled,1,v England,Kolkata,
3,13,6,0,0,50,4,bowled,2,v West Indies,Cuttack,
117,154,123,14,0,95.12,4,caught,2,v West Indies,Visakhapatnam,
20,21,30,3,0,66.66,4,lbw,2,v West Indies,Ahmedabad,
23*,15,11,3,0,209.09,6,not out,1,v West Indies,Indore,
80,99,85,5,0,94.11,5,caught,1,v West Indies,Chennai,
31,30,34,3,0,91.17,3,caught,2,v Australia,Melbourne,
18,41,28,1,0,64.28,3,caught,2,v Australia,Adelaide,
12,44,25,0,0,48,3,caught,2,v Australia,Brisbane,
21,36,27,2,0,77.77,4,caught,2,v Australia,Sydney,
66,126,82,5,0,80.48,3,bowled,1,v Bangladesh,Dhaka,
106,158,113,9,0,93.8,3,caught,1,v Sri Lanka,Hambantota,
1,6,5,0,0,20,3,caught,1,v Sri Lanka,Hambantota,
38,80,65,2,0,58.46,3,caught,2,v Sri Lanka,Colombo (RPS),
128*,187,119,12,1,107.56,3,not out,2,v Sri Lanka,Colombo (RPS),
23,42,35,2,0,65.71,3,lbw,1,v Sri Lanka,Pallekele,
0,9,5,0,0,0,3,bowled,1,v Pakistan,Chennai,
6,12,9,1,0,66.66,3,caught,2,v Pakistan,Kolkata,
7,25,17,1,0,41.17,3,caught,1,v Pakistan,Delhi,
15,45,22,1,0,68.18,3,caught,2,v England,Rajkot,
37,86,54,1,1,68.51,3,caught,1,v England,Kochi,
77*,110,79,9,2,97.46,3,not out,2,v England,Ranchi,
