web-scraper-order,web-scraper-start-url,link,link-href,brand,product_name,category,price,rating,number_of_reviews,number_of_recommendations,repurchase_yes,repurchase_no,repurchase_maybe
1639493967-573,https://www.sociolla.com/2327-organizers?page=2,,https://www.sociolla.com/mirror/49321-stainless-steel-mirror,Jacquelle,Stainless Steel Mirror,Stainless Steel Mirror,Rp 38.000,4.6,(35),30.0,Yes (24),No (2),Maybe (9)
1639493996-576,https://www.sociolla.com/2327-organizers?page=2,,https://www.sociolla.com/makeup-pouch/2436-multiple-blackberry-pouch,Masami,Multiple Blackberry Pouch,Multiple Blackberry Pouch,Rp 399.900,5.0,(1),1.0,Yes (1),No (0),Maybe (0)
1639494002-577,https://www.sociolla.com/2327-organizers?page=2,,https://www.sociolla.com/travel-bottles-makeup-case/13858-552-powder-case,Armando Caruso,552 Powder Case,552 Powder Case,Rp 125.000,,,,,,
1639494027-581,https://www.sociolla.com/2327-organizers?page=2,,https://www.sociolla.com/travel-bottles-makeup-case/54073-synchro-skin-case-cny-edition,Shiseido,Synchro Skin Case (CNY Edition),Synchro Skin Case (CNY Edition),Rp 195.000,5.0,(1),1.0,Yes (1),No (0),Maybe (0)
1639494101-585,https://www.sociolla.com/2327-organizers?page=2,,https://www.sociolla.com/travel-bottles-makeup-case/14091-551-powder-jar,,,,,,,,,,
1639493912-565,https://www.sociolla.com/2327-organizers?page=3,,https://www.sociolla.com/travel-bottles-makeup-case/15991-tpc-002m-loose-powder-case,Tammia,TPC-002M Loose Powder Case,TPC-002M Loose Powder Case,,,,,,,
1639493926-567,https://www.sociolla.com/2327-organizers?page=3,,https://www.sociolla.com/makeup-pouch/2967-otelia-makeup-pouch-navy,Armando Caruso,Otelia Makeup Pouch - Navy,Otelia Makeup Pouch - Navy,,4.6,(4),2.0,Yes (3),No (1),Maybe (0)
1639493960-572,https://www.sociolla.com/2327-organizers?page=2,,https://www.sociolla.com/travel-bottles-makeup-case/58458-breathable-egg-case,TISH,Breathable Egg Case,Breathable Egg Case,Rp 30.000,3.8,(4),2.0,Yes (2),No (2),Maybe (0)
1639493979-574,https://www.sociolla.com/2327-organizers?page=2,,https://www.sociolla.com/travel-bottles-makeup-case/16874-singles-eshadow-blush-on-pack,PAC,Singles E.Shadow/Blush On Pack,Singles E.Shadow/Blush On Pack,Rp 69.900,,,,,,
1639493947-570,https://www.sociolla.com/2327-organizers?page=2,,https://www.sociolla.com/makeup-pouch/58613-aeris-beaute-x-bubah-alfian-deluxe-standing-pouch,Aeris Beaute,AERIS BEAUTÉ x Bubah Alfian Deluxe Standing Pouch,AERIS BEAUTÉ x Bubah Alfian Deluxe Standing Pouch,Rp 145.000,,,,,,
1639493919-566,https://www.sociolla.com/2327-organizers?page=3,,https://www.sociolla.com/travel-bottles-makeup-case/3913-mini-cylinder-case-set-pink,Armando Caruso,Mini Cylinder Case Set Pink,Mini Cylinder Case Set Pink,,3.3,(4),1.0,Yes (0),No (2),Maybe (2)
1639494082-583,https://www.sociolla.com/2327-organizers?page=2,,https://www.sociolla.com/travel-bottles-makeup-case/3732-501-lamica-cylinder-case,,,,,,,,,,
1639494014-579,https://www.sociolla.com/2327-organizers?page=2,,https://www.sociolla.com/makeup-pouch/2970-olene-bag-organiser-beige,Armando Caruso,Olene Bag Organiser - Beige,Olene Bag Organiser - Beige,Rp 369.000,,,,,,
1639494051-582,https://www.sociolla.com/2327-organizers?page=2,,https://www.sociolla.com/travel-bottles-makeup-case/3668-pureness-case,,,,,,,,,,
1639494095-584,https://www.sociolla.com/2327-organizers?page=2,,https://www.sociolla.com/travel-bottles-makeup-case/11262-beauty-blender-holder,,,,,,,,,,
1639493932-568,https://www.sociolla.com/2327-organizers?page=3,,https://www.sociolla.com/travel-bottles-makeup-case/9644-travel-brush-holder,Masami,Travel Brush Holder,Travel Brush Holder,Rp 198.000,4.8,(8),8.0,Yes (2),No (2),Maybe (4)
1639493905-564,https://www.sociolla.com/2327-organizers?page=3,,https://www.sociolla.com/makeup-pouch/2964-odette-cosmetic-pouch-beige,Armando Caruso,Odette Cosmetic Pouch - Beige,Odette Cosmetic Pouch - Beige,,4.5,(6),6.0,Yes (2),No (2),Maybe (2)
1639494021-580,https://www.sociolla.com/2327-organizers?page=2,,https://www.sociolla.com/travel-bottles-makeup-case/4414-square-case,Lamica,Square Case,Square Case,Rp 225.000,4.9,(7),7.0,Yes (4),No (1),Maybe (2)
1639493954-571,https://www.sociolla.com/2327-organizers?page=2,,https://www.sociolla.com/mirror/26130-i-m-meme-hand-mirror,IMMEME,I'm Meme Hand Mirror,I'm Meme Hand Mirror,Rp 150.000,4.8,(7),7.0,Yes (1),No (3),Maybe (3)
1639493990-575,https://www.sociolla.com/2327-organizers?page=2,,https://www.sociolla.com/travel-bottles-makeup-case/16872-district-x-container,PAC,District-X Container,District-X Container,Rp 180.300,,,,,,
1639493935-569,https://www.sociolla.com/2327-organizers?page=3,,https://www.sociolla.com/makeup-pouch/56629-dear-me-beauty-x-sociolla-beauty-pouch,,,,,,,,,,
1639494008-578,https://www.sociolla.com/2327-organizers?page=2,,https://www.sociolla.com/makeup-pouch/10442-contour-champ-pouch,Sociolla,Contour Champ Pouch,Contour Champ Pouch,Rp 129.000,,,,,,
