movie_id,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,gross(in $)
tt8772262,Midsommar,2019,R,148,"Drama, Horror, Mystery",7.1,A couple travels to Northern Europe to visit a rural hometown's fabled Swedish mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult.,Ari Aster,/name/nm4170048/,"Florence Pugh, 
Jack Reynor, 
Vilhelm Blomgren, 
William Jackson Harper","/name/nm6073955/,/name/nm2930503/,/name/nm9859585/,/name/nm2860379/",335439.0,27331977.0
tt7784604,Hereditary,2018,R,127,"Drama, Horror, Mystery",7.3,A grieving family is haunted by tragic and disturbing occurrences.,Ari Aster,/name/nm4170048/,"Toni Collette, 
Milly Shapiro, 
Gabriel Byrne, 
Alex Wolff","/name/nm0001057/,/name/nm8412536/,/name/nm0000321/,/name/nm1842974/",328830.0,44069456.0
tt2494362,Bone Tomahawk,2015,Not Rated,132,"Drama, Horror, Western",7.1,"In the dying days of the old west, an elderly sheriff and his posse set out to rescue their town's doctor from cannibalistic cave dwellers.",S. Craig Zahler,/name/nm0951975/,"Kurt Russell, 
Patrick Wilson, 
Matthew Fox, 
Richard Jenkins","/name/nm0000621/,/name/nm0933940/,/name/nm0289142/,/name/nm0420955/",105055.0,
tt0081505,The Shining,1980,R,146,"Drama, Horror",8.4,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",Stanley Kubrick,/name/nm0000040/,"Jack Nicholson, 
Shelley Duvall, 
Danny Lloyd, 
Scatman Crothers","/name/nm0000197/,/name/nm0001167/,/name/nm0515950/,/name/nm0001079/",1032203.0,44017374.0
tt1396484,It,2017,R,135,Horror,7.3,"In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town.",Andy Muschietti,/name/nm0615592/,"Bill Skarsgård, 
Jaeden Martell, 
Finn Wolfhard, 
Sophia Lillis","/name/nm0803889/,/name/nm5897057/,/name/nm6016511/,/name/nm6096118/",557690.0,327481748.0
tt0884328,The Mist,2007,R,126,"Horror, Sci-Fi, Thriller",7.1,"A freak storm unleashes a species of bloodthirsty creatures on a small town, where a small band of citizens hole up in a supermarket and fight for their lives.",Frank Darabont,/name/nm0001104/,"Thomas Jane, 
Marcia Gay Harden, 
Laurie Holden, 
Andre Braugher","/name/nm0005048/,/name/nm0001315/,/name/nm0390229/,/name/nm0105672/",316834.0,25594957.0
tt0070047,The Exorcist,1973,R,122,Horror,8.1,"When a teenage girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her daughter.",William Friedkin,/name/nm0001243/,"Ellen Burstyn, 
Max von Sydow, 
Linda Blair, 
Lee J. Cobb","/name/nm0000995/,/name/nm0001884/,/name/nm0000304/,/name/nm0002011/",414031.0,232906145.0
tt0082933,Possession,1981,R,124,"Drama, Horror",7.3,A woman starts exhibiting increasingly disturbing behavior after asking her husband for a divorce. Suspicions of infidelity soon give way to something much more sinister.,Andrzej Zulawski,/name/nm0958558/,"Isabelle Adjani, 
Sam Neill, 
Margit Carstensen, 
Heinz Bennent","/name/nm0000254/,/name/nm0000554/,/name/nm0141380/,/name/nm0071502/",34853.0,1113538.0
tt5606664,Doctor Sleep,2019,R,152,"Drama, Fantasy, Horror",7.3,"Years following the events of The Shining (1980), a now-adult Dan Torrance must protect a young girl with similar powers from a cult known as The True Knot, who prey on children with powers to remain immortal.",Mike Flanagan,/name/nm1093039/,"Ewan McGregor, 
Rebecca Ferguson, 
Kyliegh Curran, 
Cliff Curtis","/name/nm0000191/,/name/nm0272581/,/name/nm7738797/,/name/nm0193295/",197683.0,31581712.0
tt0103874,Dracula,1992,R,128,"Drama, Fantasy, Horror",7.4,The centuries old vampire Count Dracula comes to England to seduce his barrister Jonathan Harker's fiancée Mina Murray and inflict havoc in the foreign land.,Francis Ford Coppola,/name/nm0000338/,"Gary Oldman, 
Winona Ryder, 
Anthony Hopkins, 
Keanu Reeves","/name/nm0000198/,/name/nm0000213/,/name/nm0000164/,/name/nm0000206/",222102.0,82522790.0
tt0110148,Interview with the Vampire: The Vampire Chronicles,1994,R,123,"Drama, Fantasy, Horror",7.5,"A vampire tells his epic life story: love, betrayal, loneliness, and hunger.",Neil Jordan,/name/nm0001403/,"Brad Pitt, 
Tom Cruise, 
Antonio Banderas, 
Kirsten Dunst","/name/nm0000093/,/name/nm0000129/,/name/nm0000104/,/name/nm0000379/",328894.0,105264608.0
tt14099334,Bhediya,2022,,156,"Comedy, Horror, Thriller",7.4,"Set in the forests of Arunachal, Bhediya is a story of Bhaskar, a man who gets bitten by a wolf, and begins to transform into the creature. As Bhaskar and his buddies try to find answers, a bunch of twists, turns, and laughs ensue.",Amar Kaushik,/name/nm3603873/,"Varun Dhawan, 
Kriti Sanon, 
Abhishek Banerjee, 
Deepak Dobriyal","/name/nm3315894/,/name/nm5305841/,/name/nm4045010/,/name/nm1795232/",14450.0,
tt3065204,The Conjuring 2,2016,R,134,"Horror, Mystery, Thriller",7.3,Ed and Lorraine Warren travel to North London to help a single mother raising four children alone in a house plagued by a supernatural spirit.,James Wan,/name/nm1490123/,"Vera Farmiga, 
Patrick Wilson, 
Madison Wolfe, 
Frances O'Connor","/name/nm0267812/,/name/nm0933940/,/name/nm4068901/,/name/nm0640323/",276405.0,102470008.0
tt0063522,Rosemary's Baby,1968,Approved,137,"Drama, Horror",8.0,"A young couple trying for a baby moves into an aging, ornate apartment building on Central Park West, where they find themselves surrounded by peculiar neighbors.",Roman Polanski,/name/nm0000591/,"Mia Farrow, 
John Cassavetes, 
Ruth Gordon, 
Sidney Blackmer","/name/nm0001201/,/name/nm0001023/,/name/nm0002106/,/name/nm0085782/",220661.0,
tt1051906,The Invisible Man,2020,R,124,"Drama, Horror, Mystery",7.1,"When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see.",Leigh Whannell,/name/nm1191481/,"Elisabeth Moss, 
Oliver Jackson-Cohen, 
Harriet Dyer, 
Aldis Hodge","/name/nm0005253/,/name/nm2719825/,/name/nm2976830/,/name/nm0388038/",232647.0,70410000.0
tt1588170,I Saw the Devil,2010,Not Rated,144,"Action, Crime, Drama",7.8,A secret agent exacts revenge on a serial killer through a series of captures and releases.,Jee-woon Kim,/name/nm0453518/,"Lee Byung-hun, 
Choi Min-sik, 
Jeon Gook-hwan, 
Ho-jin Chun","/name/nm0496932/,/name/nm0158856/,/name/nm1926499/,/name/nm1141657/",133877.0,128392.0
