super_bowl,network,avg_us_viewers,total_us_viewers,rating_household,share_household,rating_18_49,share_18_49,ad_cost
52.0,,103390000.0,,43.1,68.0,33.4,78.0,5000000.0
51.0,,111319000.0,172000000.0,45.3,73.0,37.1,79.0,5000000.0
50.0,,111864000.0,167000000.0,46.6,72.0,37.7,79.0,5000000.0
49.0,,114442000.0,168000000.0,47.5,71.0,39.1,79.0,4500000.0
48.0,,112191000.0,167000000.0,46.7,69.0,39.3,77.0,4000000.0
47.0,,108693000.0,164100000.0,46.3,69.0,39.7,77.0,4000000.0
46.0,,111346000.0,163500000.0,47.0,71.0,40.5,,3500000.0
45.0,,111041000.0,162900000.0,46.0,69.0,39.9,,3100000.0
44.0,,106476000.0,153400000.0,45.0,68.0,38.6,,2800000.0
43.0,,98732000.0,151600000.0,42.0,64.0,36.7,,3000000.0
42.0,,97448000.0,148300000.0,43.1,65.0,37.5,,2699963.0
41.0,,93184000.0,139800000.0,42.6,64.0,35.2,,2385365.0
40.0,,90745000.0,141400000.0,41.6,62.0,,,2500000.0
39.0,,86072000.0,,41.1,62.0,,,2400000.0
38.0,,89795000.0,144400000.0,41.4,63.0,,,2302200.0
37.0,,88637000.0,138500000.0,40.7,61.0,,,2200000.0
36.0,,86801000.0,,40.4,61.0,,,2200000.0
35.0,,84335000.0,,40.4,61.0,,,2200000.0
34.0,,88465000.0,,43.3,63.0,37.9,,2100000.0
33.0,,83720000.0,,40.2,61.0,36.4,,1600000.0
32.0,,90000000.0,,44.5,67.0,,,1291100.0
31.0,,87870000.0,,43.3,65.0,,,1200000.0
30.0,,94080000.0,,46.0,68.0,41.2,,1085000.0
29.0,,83420000.0,,41.3,62.0,,,1150000.0
28.0,,90000000.0,,45.5,66.0,,,900000.0
27.0,,90990000.0,,45.1,66.0,,,850000.0
26.0,,79590000.0,,40.3,61.0,,,850000.0
25.0,,79510000.0,,41.9,63.0,,,800000.0
24.0,,73852000.0,,39.0,67.0,,,700400.0
23.0,,81590000.0,,43.5,68.0,,,675000.0
22.0,,80140000.0,,41.9,62.0,,,645000.0
21.0,,87190000.0,,45.8,66.0,,,600000.0
20.0,,92570000.0,,48.3,70.0,,,550000.0
19.0,,85530000.0,,46.4,63.0,,,525000.0
18.0,,77620000.0,,46.4,71.0,,,368200.0
17.0,,81770000.0,,48.6,69.0,,,400000.0
16.0,,85240000.0,,49.1,73.0,,,324300.0
15.0,,68290000.0,,44.4,63.0,,,275000.0
14.0,,76240000.0,,46.3,67.0,,,222000.0
13.0,,74740000.0,,47.1,74.0,,,185000.0
12.0,,78940000.0,,47.2,67.0,,,162300.0
11.0,,62050000.0,,44.4,73.0,,,125000.0
10.0,,57710000.0,,42.3,78.0,,,110000.0
9.0,,56050000.0,,42.4,72.0,,,107000.0
8.0,,51700000.0,,41.6,73.0,,,103500.0
7.0,,53320000.0,,42.7,72.0,,,88100.0
6.0,,56640000.0,,44.2,74.0,,,86100.0
5.0,,46040000.0,,39.9,75.0,,,72500.0
4.0,,44270000.0,,39.4,69.0,,,78200.0
3.0,,41660000.0,,36.0,70.0,,,55000.0
2.0,,39120000.0,,36.8,68.0,,,54500.0
1.0,,26750000.0,51180000.0,22.6,43.0,,,42500.0
1.0,,24430000.0,,18.5,36.0,,,37500.0
